Permit_Key,Permit_Num,Permit_Type,Structure_Type,Work,Street_Num,Street_Name,Street_Type,Street_Direction,Postal,Geo_Id,Ward_Grid,Application_Date,Issued_Date,Completed_Date,Status,Description,Address,Coordinates,Application_Date_Key,Issued_Date_Key,Completed_Date_Key
13,08 173856 B12,New Houses,Stacked Townhouses,New Building,2230,GERRARD,ST,E,###,14650247,S3203,2008-06-23,2009-05-13,2016-10-17,Closed,"(LEAD FILE FOR STACKED TOWNHOUSE UNITS) - BUILDING F NORTH (UNITS 111-120) - Proposal to construct a total of 120 stacked townhouse dwelling units.  See seperate file for 12 freehold townhouse units (BLD 08 173874).
DRAWINGS FOR ENTIRE DEVELOPMENT (BUILDINGS A-F & FREEHOLD UNITS) UNDER LEAD THIS FILE","2230,GERRARD,ST E ###",POINT (-79.298143 43.68495),3186,3510,6224
14,08 190187 BLD,New Building,Multiple Use/Non Residential,New Building,18,YORK,ST, ,###,14070028,S2017,2008-08-05,2010-04-06,2016-11-16,Closed,"Proposal to construct a 26 sty office building with 3 levels of below grade parking and a mech penthouse.  Ground floor to include retail and loading, 2nd floor contains mech and elec service rooms, floors 3-26 will contain office.  Also, enclosed pedestrian bridge over York St. to 25 York St..","18,YORK,ST   ###",POINT (-79.382277 43.644124),3229,3838,6254
15,08 212302 BLD,New Houses,SFD - Detached,New Building,92,FOREST HILL,RD, ,M4V,805825,S2206,2008-10-10,2009-01-14,2016-08-02,Closed,Demolish existing two storey dwelling and construct a new three storey SFD.,"92,FOREST HILL,RD   M4V",POINT (-79.40498 43.689927),3295,3391,6148
16,09 109016 BLD,New Houses,SFD - Detached,New Building,19,PARKVIEW HILL,CRES, ,M4B,3897538,S3101,2009-02-12,2010-01-29,2016-04-08,Closed,permit to construct new sfd detached house - 2 stories - 408m2 - building includes partial sub basement - please see 07 109857 ZAL - 07 116288 MV - 07 229911 OA - 08 218026 STE SA - included with the building permit plans are shoring details provided by Peng,"19,PARKVIEW HILL,CRES   M4B",POINT (-79.322508 43.70444),3420,3771,6032
17,09 138906 BLD,New Building,Multiple Use/Non Residential,New Building,493,PARLIAMENT,ST, ,M4X,7640693,S2803,2009-05-15,2009-10-16,2016-06-16,Closed,Proposal to construct a 3 sty bank & office building.  See Demo 09 109577.  493 Parliament St & 252 B Carlton St.,"493,PARLIAMENT,ST   M4X",POINT (-79.367913 43.664687),3512,3666,6101
18,09 194077 BLD,Building Additions/Alterations,Multiple Use/Non Residential,Interior Alterations,1,DUNDAS,ST,W,M5G,20040460,S2713,2009-12-04,2010-01-22,2016-01-26,Closed,"Proposed interior alterations to levels 1,2 and 4 of the Toronto Eaton Centre. Level 4 is not included in the scope of work.","1,DUNDAS,ST W M5G",POINT (-79.381563 43.655911),3715,3764,5959
19,09 199165 BLD,New Building,Mixed Use/Res w Non Res,New Building,4759-4789,YONGE,ST, ,M2N,9066026,N2306,2009-12-22,2013-08-19,2016-12-07,Closed,"Willowdale Plaza lands - Proposal to develop the site with office, retail commercial and residential uses.  The development proposes two towers of 35 and 44 storeys connected by a 5-storey podium with grade related retail.","4759-4789,YONGE,ST   M2N",POINT (-79.410312 43.760361),3733,5069,6275
20,10 120833 BLD,New Building,Multiple Use/Non Residential,New Building,3362,YONGE,ST, ,M4N,7793317,N1603,2010-02-19,2010-08-05,2016-10-27,Closed,Proposed three storey mixed use building with basement - Shoppers Drug Mart and 3rd storey office space,"3362,YONGE,ST   M4N",POINT (-79.404469 43.732223),3792,3959,6234
21,10 139869 BLD,New Building,Mixed Use/Res w Non Res,New Building,121,MCMAHON,DR, ,###,30024497,N2406,2010-03-25,2012-09-06,2016-04-15,Closed,"1001-1019 SHEPPARD AVE E- BLOCK 14 - CONCORD PARK PLACE TANGO
31 storey apartment building containing 428 dwelling units including attached two and three storey units containing retail and including dwelling units each having access from an internal corridor system with four levels of underground parking - BLK 14 - Concord Park Place - TANGO","121,MCMAHON,DR   ###",POINT (-79.370622 43.767722),3826,4722,6039
22,10 142571 BLD,New Building,Apartment Building,New Building,105,GEORGE,ST, ,M5A,20145513,S2807,2010-03-30,2015-08-07,2016-10-28,Closed,Proposal revised to construct a 22-storey residential condominium building containing 294 dwelling units  including a landscaped courtyard connected to the retained and restored heritage buildings at 252-258 Adelaide Street East. The below grade garage will contain 155 parking spaces [DBG],"105,GEORGE,ST   M5A",POINT (-79.370876 43.652222),3831,5787,6235
23,10 147511 BLD,New Houses,SFD - Semi-Detached,New Building,146,WAVERLEY,RD, ,M4L,8237052,S3209,2010-04-08,2010-09-29,2016-11-02,Closed,"Proposal to construct a new three storey semi detached dwelling with detached two car garage at rear of building.  See PAL 09 176826, COA - A0720/09TEY, and demo.","146,WAVERLEY,RD   M4L",POINT (-79.301881 43.67153),3840,4014,6240
24,10 194397 BLD,Building Additions/Alterations,Multiple Use/Non Residential,Interior Alterations,720,BATHURST,ST, ,M5S,6924859,S1903,2010-06-11,2010-06-30,2016-10-06,Closed,"Interior alterations to the ground, second and third floors of this building. The ground floor is a restauarnt, the second floor is a commercial school and the third floor is an office. This proposal includes HVAC and Plumbing.","720,BATHURST,ST   M5S",POINT (-79.410796 43.663203),3904,3923,6213
25,10 197078 BLD,New Houses,SFD - Detached,New Building,5,CARONPORT,CRES, ,M3A,496856,N3404,2010-06-15,2010-08-05,2016-10-03,Closed,Proposed 3 storey sfd,"5,CARONPORT,CRES   M3A",POINT (-79.318844 43.744602),3908,3959,6210
26,10 230398 BLD,New Houses,SFD - Detached,New Building,9,ORRELL,AVE, ,M9A,1022651,W0404,2010-07-29,2010-08-30,2016-01-26,Closed,Proposed new two storey detached dwelling with attached garage.,"9,ORRELL,AVE   M9A",POINT (-79.530341 43.656209),3952,3984,5959
27,10 241329 BLD,New Building,Mixed Use/Res w Non Res,New Building,69,LYNN WILLIAMS,ST, ,M6K,14600147,S1908,2010-08-17,2011-12-23,2016-09-30,Closed,"Construction of two(2) new towers for 69 Lynn Williams Street(Block 5) and 150 East Liberty Street(Block 7). These two building will share a common below grade, 5 storey parking garage. 69 Lynn Williams Street(Block 5) will be a 15 storey residential condominium building with a mechanical penthouse. 150 East Liberty Street(Block 7) will be a 32 storey mixed use building with a mechanical penthouse and mezzanine level.   ","69,LYNN WILLIAMS,ST   M6K",POINT (-79.415505 43.638794),3971,4464,6207
28,10 260004 BLD,New Building,Apartment Building,New Building,388,YONGE,ST, ,###,20199887,S2711,2010-09-17,2011-12-23,2016-05-24,Closed,"PHASE 3 - UPPER TOWER (AURA AT COLLEGE PARK) - Proposal to construct floors 55-75 for new condo over podium 157 Dwelling units (SEE BLD 08 196702).  Note - see active BLD permit 08 117483, FSU 10 165868, PODIUM 08 196702), and PHASE 2 (LOWER TOWER).","388,YONGE,ST   ###",POINT (-79.382617 43.65944),4002,4464,6078
29,10 311680 BLD,New Houses,SFD - Detached,New Building,105,ARJAY,CRES, ,M2L,20142246,N2503,2010-12-09,2011-01-25,2016-03-21,Closed,Two storey sfd,"105,ARJAY,CRES   M2L",POINT (-79.3837 43.739658),4085,4132,6014
30,10 315385 BLD,New Building,Mixed Use/Res w Non Res,New Building,560,KING,ST,W,M5V,10223994,S2014,2010-12-16,2013-05-02,2016-02-09,Closed,"Proposal to construct a 12 sty condo with 334 residential units, commercial on ground floor, and 4 levels of below grade parking.  ""Fashion House"". Two Towers; One facing King St West and other one facing Adelaide St West.","560,KING,ST W M5V",POINT (-79.398974 43.64508),4092,4960,5973
31,11 166726 BLD,Building Additions/Alterations,Multiple Use/Non Residential,Interior Alterations,1,DUNDAS,ST,W,M5G,20040460,S2713,2011-04-06,2011-04-29,2016-01-26,Closed,Proposal for interior aterations to the 4th floor of the Eaton's Centre (Galleria).  Scope of work includes new guardrails and flooring.,"1,DUNDAS,ST W M5G",POINT (-79.381563 43.655911),4203,4226,5959
32,11 215309 BLD,Building Additions/Alterations,Multiple Unit Building,Interior Alterations,720,BATHURST,ST, ,M5S,6924859,S1903,2011-06-09,2011-07-06,2016-10-06,Closed,"Proposal for interior alterations to floors 1 to 3; existing restaurant with proposed office on 1st floor, commercial school to office on 2nd floor & existing office to remain on 3rd floor. ","720,BATHURST,ST   M5S",POINT (-79.410796 43.663203),4267,4294,6213
33,11 216050 BLD,New Building,Mixed Use/Res w Non Res,New Building,224,KING,ST,W,###,7929659,S2015,2011-06-10,2013-12-19,2016-11-23,Closed,"Permit to construct a new 47 storey mixed-use building comprised of  234 residential dwelling units,  644m2 of commercial space and 100 parking spaces including 4 car share spaces.","224,KING,ST W ###",POINT (-79.387274 43.64738),4268,5191,6261
34,11 220270 BLD,New Houses,SFD - Detached,New Building,21,LOWER LINKS,RD, ,M2P,538607,N2501,2011-06-16,2011-07-04,2016-05-23,Closed,Two storey dwelling with attached garage and finished basement,"21,LOWER LINKS,RD   M2P",POINT (-79.400414 43.748792),4274,4292,6077
35,11 236661 BLD,New Building,Apartment Building,New Building,72,ESTHER SHINER,BLVD, ,###,30025680,N2406,2011-07-12,2013-10-25,2016-08-29,Closed,"1001-1009 SHEPPARD AVE E, CONCORD ADEX PARK PLACE, BLOCK 17
7 storey and 21 storey attached apartment building containing 257 dwelling units, with ground floor retail and 4 levels of underground parking","72,ESTHER SHINER,BLVD   ###",POINT (-79.371485 43.768335),4300,5136,6175
36,11 240813 BLD,Building Additions/Alterations,Multiple Use/Non Residential,Interior Alterations,1,DUNDAS,ST,W,M5G,20040460,S2713,2011-07-19,2011-08-25,2016-01-26,Closed,"Proposal for interior alterations to second floor retail units in the Eaton's Centre.  Scope of work includes converting 4 units into 1 retail unit - ""Harry Rosen"".  Interior tenant fit up permit to be applied for at a later date.  Convenience address is 220 Yonge St.","1,DUNDAS,ST W M5G",POINT (-79.381563 43.655911),4307,4344,5959
37,11 249770 BLD,New Building,Mixed Use/Res w Non Res,New Building,800,LAWRENCE,AVE,W,###,30032448,N1502,2011-08-02,2014-10-28,2016-06-14,Closed,"21 storey residential building with an 8 storey residential podium containing 435 dwelling units, ground floor mixed uses and four levels of underground parking","800,LAWRENCE,AVE W ###",POINT (-79.453504 43.714502),4321,5504,6099
38,11 258865 BLD,New Houses,SFD - Detached,New Building,57,STUART,AVE, ,M2N,566058,N2305,2011-08-17,2011-09-08,2016-07-29,Closed,Two storey dwelling with attached garage and finished basement,"57,STUART,AVE   M2N",POINT (-79.417921 43.75344),4336,4358,6144
39,11 265744 BLD,New Houses,SFD - Detached,New Building,2,DACRE,CRES, ,M6S,789390,W1310,2011-08-30,2012-01-25,2016-11-17,Closed,Proposed construction of a new (2) storey detached single family dwelling with an attached garage.,"2,DACRE,CRES   M6S",POINT (-79.471888 43.648711),4349,4497,6255
40,11 285855 BLD,New Houses,SFD - Detached,New Building,64,MONTRESSOR,DR, ,M2P,9942142,N2501,2011-10-03,2011-12-13,2016-08-17,Closed,Two storey dwelling with finished basement and attached garage,"64,MONTRESSOR,DR   M2P",POINT (-79.392453 43.758708),4383,4454,6163
41,11 293926 BLD,New Building,Apartment Building,New Building,68,CANTERBURY,PL, ,###,30022220,N2302,2011-10-17,2013-01-21,2016-04-19,Closed,"18 storey apartment building with 209 suites, two levels of underground parking garages linked to 20 units of three storey townhouses
","68,CANTERBURY,PL   ###",POINT (-79.415587 43.773804),4397,4859,6043
42,11 303755 BLD,New Houses,SFD - Detached,New Building,172,HILLHURST,BLVD, ,M5N,527052,N1604,2011-11-02,2011-12-16,2016-03-18,Closed,Two storey dwelling with attached garage and finished basement,"172,HILLHURST,BLVD   M5N",POINT (-79.419941 43.710592),4413,4457,6011
43,11 317713 BLD,New Houses,SFD - Detached,New Building,53,DOUGLAS,CRES, ,M4W,7348864,S2901,2011-11-29,2012-01-26,2016-11-22,Closed,"Permit to construct new three storey single-family detached dwelling on the subject lands which are regulated by TRCA and Ravine Protection.  - See 11 167153 ZZC, 11 211679 MV for ZZC and C of A.
Please also note that 11 167134 STE 29 Sa for site plan approval which is open upon application of permit.","53,DOUGLAS,CRES   M4W",POINT (-79.365846 43.691743),4440,4498,6260
44,11 327111 BLD,New Houses,SFD - Detached,New Building,219,JOHNSTON,AVE, ,M2N,531775,N2305,2011-12-16,2012-02-03,2016-02-10,Closed,Three Storey SFD.,"219,JOHNSTON,AVE   M2N",POINT (-79.420749 43.756583),4457,4506,5974
45,12 129679 BLD,New Building,Apartment Building,New Building,36,PARK LAWN,RD, ,M8Y,13297430,W0608,2012-02-29,2015-11-02,2016-11-16,Closed,Construction of 44 storey apartment building with 421 residential dwelling units plus 1 guest suite total 422 units.,"36,PARK LAWN,RD   M8Y",POINT (-79.484296 43.623509),4532,5874,6254
46,12 129771 BLD,New Building,Multiple Use/Non Residential,New Building,36,PARK LAWN,RD, ,M8Y,13297430,W0608,2012-02-29,2014-09-26,2016-11-21,Closed,Construct new (2) storey commercial/office building,"36,PARK LAWN,RD   M8Y",POINT (-79.484296 43.623509),4532,5472,6259
47,12 155716 BLD,New Houses,SFD - Detached,New Building,29,OLD YONGE,ST, ,M2P,20235230,N2503,2012-04-17,2012-07-05,2016-11-08,Closed,Two storey single family dwelling with attached garage,"29,OLD YONGE,ST   M2P",POINT (-79.400706 43.742865),4580,4659,6246
48,12 160996 BLD,New Houses,SFD - Detached,New Building,300,RANEE,AVE, ,M6A,10386671,N1502,2012-04-25,2012-07-11,2016-07-29,Closed,Two storey single family dwelling with attached garage,"300,RANEE,AVE   M6A",POINT (-79.451446 43.722913),4588,4665,6144
49,12 162427 BLD,New Houses,SFD - Detached,New Building,441,ORIOLE,PKWY, ,M5P,849160,S2203,2012-04-27,2012-05-29,2016-10-06,Closed,Proposal to construct new three-storey single family detached dwelling with integral garage (504.9m2) and finished basement (181.9m2).  Also see CofA file 11-156279 and ZC file 10-303786.,"441,ORIOLE,PKWY   M5P",POINT (-79.404643 43.702197),4590,4622,6213
50,12 167700 BLD,New Houses,SFD - Detached,New Building,1,FULHAM,ST, ,M1S,336311,E4108,2012-05-07,2012-05-24,2016-02-03,Closed,construct a new two storey single family dwelling,"1,FULHAM,ST   M1S",POINT (-79.267702 43.783444),4600,4617,5967
51,12 168092 BLD,New Houses,SFD - Detached,New Building,4,BURNCREST,DR, ,M5M,494167,N1602,2012-05-07,2012-05-25,2016-06-08,Closed,Two storey dwelling with attached garage.,"4,BURNCREST,DR   M5M",POINT (-79.423792 43.738781),4600,4618,6093
52,12 170167 BLD,New Building,Mixed Use/Res w Non Res,New Building,475,FRONT,ST,E,M5A,8708619,S2813,2012-05-09,2015-10-14,2016-10-14,Closed,"Proposal to construct 15 sty condo with 436 units, ground floor commercial, and 2 levels of below grade parking.  PAN-AM GAMES - BLOCK 4 - PHASE 2, WEST DON LANDS.","475,FRONT,ST E M5A",POINT (-79.355254 43.652904),4602,5855,6221
53,12 181194 BLD,New Houses,SFD - Detached,New Building,109,PITFIELD,RD, ,M1S,4341792,E4108,2012-05-28,2012-10-18,2016-04-05,Closed,"New single family dwellling, original house to be demolished","109,PITFIELD,RD   M1S",POINT (-79.26755 43.783017),4621,4764,6029
54,12 189155 BLD,New Houses,SFD - Detached,New Building,15,KILLDEER,CRES, ,M4G,26777,N2601,2012-06-08,2012-09-04,2016-01-18,Closed,Two storey dwelling with attached garage at grade,"15,KILLDEER,CRES   M4G",POINT (-79.364486 43.718766),4632,4720,5951
55,12 191929 BLD,New Houses,SFD - Detached,New Building,6,RENNIE,TER, ,M6S,857994,W1309,2012-06-13,2012-10-05,2016-08-24,Closed,Proposal to construct two storey single family dwelling with integral garage and deck,"6,RENNIE,TER   M6S",POINT (-79.475081 43.644747),4637,4751,6170
56,12 224761 BLD,New Houses,SFD - Detached,New Building,15,LICHEN,PL, ,M3A,8236915,N3404,2012-08-07,2012-11-14,2016-05-06,Closed,Two storey single family dwelling with integral gargae at grade and finished basement.,"15,LICHEN,PL   M3A",POINT (-79.329751 43.756294),4692,4791,6060
57,12 233172 BLD,New Houses,SFD - Detached,New Building,233,ELMWOOD,AVE, ,M2N,512020,N2304,2012-08-21,2012-09-27,2016-11-29,Closed,Two storey dwelling with integral at grade two car garage and finished basement.,"233,ELMWOOD,AVE   M2N",POINT (-79.397935 43.769533),4706,4743,6267
58,12 233929 BLD,New Building,Apartment Building,New Building,2150,LAWRENCE,AVE,E,M1R,3497299,E3703,2012-08-22,2014-09-22,2016-07-08,Closed,construct a 19 storey condominium with 227 units,"2150,LAWRENCE,AVE E M1R",POINT (-79.286514 43.748056),4707,5468,6123
59,12 234865 BLD,New Houses,SFD - Detached,New Building,398,PRINCESS,AVE, ,M2N,553222,N2304,2012-08-23,2012-12-05,2016-02-10,Closed,Two storey dwelling with integral two car garage at grade.,"398,PRINCESS,AVE   M2N",POINT (-79.390339 43.77356),4708,4812,5974
60,12 247171 BLD,New Houses,SFD - Detached,New Building,1054,LILLIAN,ST, ,M2M,3252296,N2401,2012-09-14,2013-05-22,2016-01-25,Closed,Two storey detached dwelling with integral at grade garage and finished basement.,"1054,LILLIAN,ST   M2M",POINT (-79.41122 43.797368),4730,4980,5958
61,12 249832 BLD,New Houses,SFD - Detached,New Building,92,PRINCESS,AVE, ,M2N,553082,N2304,2012-09-19,2012-10-26,2016-11-18,Closed,2 storey dwelling with attached garage at grade,"92,PRINCESS,AVE   M2N",POINT (-79.408367 43.769548),4735,4772,6256
62,12 252339 BLD,New Houses,SFD - Detached,New Building,48,DOUGLAS,CRES, ,M4W,7337706,S2901,2012-09-24,2012-11-20,2016-07-08,Closed,"PROPOSAL TO CONSTRUCT NEW TWO STOREY DETATCHED DWELLING (345.79 m2)
SINGLE FAMILY DWELLING","48,DOUGLAS,CRES   M4W",POINT (-79.366324 43.691428),4740,4797,6123
63,12 258625 BLD,New Houses,SFD - Detached,New Building,84,HEATHCOTE,AVE, ,M2L,9963260,N2502,2012-10-04,2012-12-24,2016-01-04,Closed,"Two storey single family dwelling with three car garage at grade, with finished basement","84,HEATHCOTE,AVE   M2L",POINT (-79.374637 43.755038),4750,4831,5937
64,12 260361 BLD,New Building,Apartment Building,New Building,88,SHEPPARD,AVE,E,###,30028638,N2304,2012-10-10,2014-05-21,2016-08-22,Closed,"34 storey residential apartment building with green roofs above the two and four storey residential portions, 359 dwelling units, linked (mechanically and electrically) with 2 blocks of three storey residential townhouses containing a total of 16 dwelling units all above three levels of underground parking","88,SHEPPARD,AVE E ###",POINT (-79.406986 43.763953),4756,5344,6168
65,12 261952 BLD,New Houses,SFD - Detached,New Building,20,HEMFORD,CRES, ,M3B,526064,N2505,2012-10-12,2012-11-06,2016-10-04,Closed,Two storey single family dwelling with integral at grade garage and unfinished basement.,"20,HEMFORD,CRES   M3B",POINT (-79.352383 43.740178),4758,4783,6211
66,12 268470 BLD,New Houses,SFD - Detached,New Building,18,DENEWOOD,CRES, ,M3B,506973,N2504,2012-10-25,2012-11-19,2016-11-07,Closed,Two storey dwelling with attached garage at grade,"18,DENEWOOD,CRES   M3B",POINT (-79.366395 43.7416),4771,4796,6245
67,12 281454 BLD,New Houses,SFD - Detached,New Building,34,EDGEVALLEY,DR, ,M9A,998588,W0406,2012-11-19,2013-02-13,2016-11-15,Closed,Proposal to construct new 2 storey detached sfd,"34,EDGEVALLEY,DR   M9A",POINT (-79.517759 43.668636),4796,4882,6253
68,12 283363 BLD,New Houses,SFD - Detached,New Building,30,BURNHAMTHORPE PARK,BLVD, ,M9A,10774915,W0502,2012-11-22,2012-12-12,2016-09-09,Closed,Construction of new 2 storey detached sfd with integral garage,"30,BURNHAMTHORPE PARK,BLVD   M9A",POINT (-79.536354 43.651268),4799,4819,6186
69,12 287485 BLD,Building Additions/Alterations,Multiple Use/Non Residential,Interior Alterations,1130,BATHURST,ST, ,M5R,13319673,S2108,2012-11-30,2012-12-06,2016-03-15,Closed,Proposal for interior alterations to existing graphics/printing room in the basement of  TTC building.  Proposal to add vapour barrier and a new HVAC system.  Convenience address is 1138 Bathurst St.,"1130,BATHURST,ST   M5R",POINT (-79.415525 43.675269),4807,4813,6008
70,12 295020 BLD,New Houses,SFD - Detached,New Building,303,LAKE PROMENADE, , ,M8W,5729333,W0605,2012-12-17,2013-05-16,2016-05-31,Closed,Construct new (2) storey dwelling with attached garage.,"303,LAKE PROMENADE,    M8W",POINT (-79.535044 43.588609),4824,4974,6085
71,12 296436 BLD,New Houses,SFD - Detached,New Building,350,JOICEY,BLVD, ,M5M,532058,N1602,2012-12-20,2014-06-12,2016-10-21,Closed,Two storey single family dwelling with integral at grade garage and finished basement.,"350,JOICEY,BLVD   M5M",POINT (-79.430665 43.734676),4827,5366,6228
72,12 296723 BLD,New Building,Apartment Building,New Building,299,ROEHAMPTON,AVE, ,M4P,7651227,S2201,2012-12-20,2014-04-15,2016-02-18,Closed,"Demo existing 2 storey townhouse development consisting of 7 rental units on North East portion of existing 'lot' which consists of # 299 Roehampton Ave.(Area B) and # 322 Eglinton Ave. East (Area A) to remain;  and construct new 16 storey apartment building with 221 Dwelling Units (Area C), 1 Storey Recreation Centre (Area D) for the exclusive use of Residents of the 'lot', and new vehicular ramp enclosure (Area E). One vehicular ramp to the underground garage will also be demolished
Parking to be within the existing 2 levels of the underground garage which is shared by all three towers.
Existing vehicular access from Roehampton Ave. and Rawlinson Ave will remain from these streets but will be relocated. New surface drive aisles are proposed.
See also 12 296716 DEM, 12 244374 STE, 12 149734 ZPR, 12 149122 MV and Final and Binding A0248/12TEY.","299,ROEHAMPTON,AVE   M4P",POINT (-79.389745 43.709532),4827,5308,5982
73,12 298613 BLD,New Houses,SFD - Detached,New Building,69,BLYTH HILL,RD, ,M4N,490844,N2508,2012-12-31,2013-06-27,2016-02-18,Closed,Two storey single family dwelling with below grade garage and finished basement as per committee decision. Existing dwelling already demolished (05-125889) and cabana constructed under permit (05-125905),"69,BLYTH HILL,RD   M4N",POINT (-79.382039 43.71803),4838,5016,5982
74,13 100817 BLD,New Houses,SFD - Detached,New Building,106,KINGSDALE,AVE, ,M2N,533735,N2304,2013-01-03,2013-10-02,2016-06-17,Closed,Two storey single family dwelling with integral at grade garage and finished basement.,"106,KINGSDALE,AVE   M2N",POINT (-79.407168 43.771667),4841,5113,6102
