Permit_Num,Permit_Type,Structure_Type,Work,Street_Num,Street_Name,Street_Type,Street_Direction,Postal,Geo_Id,Ward_Grid,Application_Date,Issued_Date,Completed_Date,Status,Description,Est_Const_Cost,Address,Coordinates,Ward_Index,Ward
15 260479 BLD,Building Additions/Alterations,Fitness Centre,Interior Alterations,180,QUEENS PLATE,DR, ,M9W,9655496.0,W0202,2015-12-03,2016-02-05,2016-06-13,Closed,Interior alterations and fit-out of existing mercantile tenant space to create a new fitness centre tenant space.,570000,180 QUEENS PLATE DR   M9W,POINT (-79.59414 43.719119),14.0,Etobicoke North
15 265553 BLD,Building Additions/Alterations,"Hair, Barber and Other Salon",Interior Alterations,20,RICHMOND,ST,E,M5C,8313076.0,S2807,2015-12-15,2016-01-05,2016-03-14,Closed,Interior alterations for barber shop Unit 112,30000,20 RICHMOND ST E M5C,POINT (-79.378267 43.652082),21.0,Toronto Centre
16 111140 BLD,Building Additions/Alterations,Recreational,Interior Alterations,1187,KENNEDY,RD, ,M1P,30041015.0,E3704,2016-02-01,2016-07-28,2016-10-13,Closed,Proposed major interior alterations to ground floor.,300000,1187 KENNEDY RD   M1P,POINT (-79.276222 43.754179),9.0,Scarborough Centre
16 122349 BLD,Building Additions/Alterations,"Hair, Barber and Other Salon",Interior Alterations,3830,BLOOR,ST,W,M9B,8731063.0,W0501,2016-03-01,2016-03-07,2016-05-16,Closed,"Proposal for interior alterations for ""Raw Beauty Bar""  beauty salon.",120000,3830 BLOOR ST W M9B,POINT (-79.538122 43.641582),16.0,Etobicoke Centre
16 172708 BLD,Building Additions/Alterations,Fitness Centre,Interior Alterations,575,ST CLAIR,AVE,W,M6C,14068151.0,S2108,2016-06-13,2016-07-19,2016-10-04,Closed,"Proposal for interior alterations to the ground floor and basement of an existing retail unit for new fitness studio - ""Philosophy Fitness""",60000,575 ST CLAIR AVE W M6C,POINT (-79.421369 43.682294),12.0,Toronto-St. Paul's
16 190899 BLD,Building Additions/Alterations,"Hair, Barber and Other Salon",Interior Alterations,181,BAY,ST, ,M5J,10224291.0,S2809,2016-07-14,2016-07-25,2016-12-23,Closed,Proposed interior for 'Blowdry Lounge'.,60700,181 BAY ST   M5J,POINT (-79.379374 43.647223),21.0,Toronto Centre
00 132345 CMB,Non-Residential Building Permit,Museum,Addition/Alteration to Existing Building,100,GARRISON,RD, ,M5V,807841.0,S1028,2000-03-03,2000-05-23,,Inspection,"make interior alterations, reconstruct portion of barracks builing.Fort York.  Blue Barracks.'HISTORICAL'",760000,100 GARRISON RD   M5V,POINT (-79.403488 43.639057),24.0,Spadina-Fort York
00 140394 CMB,Non-Residential Building Permit,Club,Addition/Alteration to Existing Building,141,ST GEORGE,ST, ,M5R,4030666.0,S1127,2000-04-11,2000-06-26,,Inspection,make interior alterations to existing club building (area 310.3m2); HISTORICAL (w23),200000,141 ST GEORGE ST   M5R,POINT (-79.399759 43.668645),3.0,University-Rosedale
00 143104 CMB,Non-Residential Building Permit,Club,New Building,1675,LAKE SHORE,BLVD,E,###,7650406.0,S1941,2000-04-19,2000-04-25,,Inspection,ERECT AN ACCESSORY STRUCTURE 21' X 60.5' FOR THE STORAGE OF CANOES IN CONNECTION WITH THE BALMY BEACH CANOE CLUB.,9241,1675 LAKE SHORE BLVD E ###,POINT (-79.311183 43.66155),4.0,Beaches-East York
00 147379 CMB,Non-Residential Building Permit,Museum,Alteration to Existing Building,330,WALMER,RD, ,M5R,7986485.0,S1236,2000-05-04,2000-08-30,,Inspection,MAKE INTERIOR ALTERATIONS BY RECONSTRUCTING FLOOR SLAB IN EXISTING POTTING SHED. Hold for Field Review Commitment form Arch and Struct.Eng./HistoricalBoard.Hold for Toronto historical board letter of clearance.,200000,330 WALMER RD   M5R,POINT (-79.411054 43.679336),12.0,Toronto-St. Paul's
00 148785 CMB,Non-Residential Building Permit,Club,Alteration to Existing Building,20,GROSVENOR,ST, ,M4Y,7762640.0,S1325,2000-05-08,2000-06-22,,Inspection,make laterations to fire alarm system.   edc,90000,20 GROSVENOR ST   M4Y,POINT (-79.385106 43.663063),21.0,Toronto Centre
00 156491 CMB,Non-Residential Building Permit,"Hair, Barber and Other Salon",Alteration to Existing Building,700,THE QUEENSWAY, , ,M8Y,9084984.0,W0328,2000-05-30,2001-04-26,,Inspection,Interior Alterations to Tanning Salon.    Plumbing permit includedA130 (area)  ,20000,700 THE QUEENSWAY     M8Y,POINT (-79.499986 43.627153),15.0,Etobicoke-Lakeshore
00 160187 CMB,Non-Residential Building Permit,Amusement Park Structure,Addition to Existing Building,1,  IBMS NORTH YORK, , ,###,,N8301,2000-06-09,2000-10-02,,Inspection,"ADD NEW WALL STRUCTURES AS PART OF EXISTING MONUMENT ""YAD VASHEM MEMORIAL""  WITHIN EARL BALES PARK ",15000,1   IBMS NORTH YORK     ###,,,
00 171941 CMB,Non-Residential Building Permit,Club,Alteration to Existing Building,107,WELLINGTON,ST,W,M5J,7929297.0,S1034,2000-07-17,2000-07-20,,Inspection,MAKE INTERIOR ALTERATIONS ON PORTION OF 2ND FL--  WELLINGTON ROOM,50000,107 WELLINGTON ST W M5J,POINT (-79.382592 43.646504),24.0,Spadina-Fort York
00 324279 CMB,Non-Residential Building Permit,Club,Addition/Alteration to Existing Building,141,ST GEORGE,ST, ,M5R,4030666.0,S1127,2000-08-01,2000-10-03,,Inspection,alter plans 00-140394 by installing mezzanine on 3rd floor.  see committee of adjustments decision.  edc     Hold for Final and Binding Letter ,10000,141 ST GEORGE ST   M5R,POINT (-79.399759 43.668645),3.0,University-Rosedale
00 330891 CMB,Non-Residential Building Permit,"Hair, Barber and Other Salon",Alteration to Existing Building,2429,YONGE,ST, ,M4P,14187340.0,N1526,2000-08-23,2000-09-26,,Inspection,Make interior alterations on ground floor and 2nd floor for personal grooming establishment from a restaurant and offic use:,60000,2429 YONGE ST   M4P,POINT (-79.398875 43.710675),11.0,Don Valley West
00 334057 CMB,Non-Residential Building Permit,Club,Addition/Alteration to Existing Building,12,BUSHBURY,DR, ,M3A,494557.0,N1624,2000-09-05,2000-11-24,,Inspection,ADDITION & RENOVATION TO PRIVATE CLUB,4000000,12 BUSHBURY DR   M3A,POINT (-79.343075 43.754089),19.0,Don Valley East
00 349040 CMB,Non-Residential Building Permit,Gymnasium,Alteration to Existing Building,750,WARDEN,AVE, ,M1L,5343675.0,E2021,2000-10-25,2000-11-16,,Inspection,INTERIOR ALTERATIONS WITH HVAC AND PLUMBING,100000,750 WARDEN AVE   M1L,POINT (-79.284626 43.718436),5.0,Scarborough Southwest
00 350940 CMB,Non-Residential Building Permit,Club,New Building,245,MARKLAND,DR, ,M9C,1016856.0,W0233,2000-11-01,2001-05-11,,Inspection,New one storey refreshment building on golf course.  Plumbing included,50000,245 MARKLAND DR   M9C,POINT (-79.581179 43.629077),16.0,Etobicoke Centre
00 363186 CMB,Non-Residential Building Permit,Club,Alteration to Existing Building,567,SHEPPARD,AVE,E,M2K,561844.0,N1729,2000-12-20,2000-12-27,,Permit Issued,INTERIOR ALTERATIONS TO A FITNESS ROOM ON THE GROUND FLOOR,15000,567 SHEPPARD AVE E M2K,POINT (-79.386779 43.765883),18.0,Don Valley North
01 131428 CMB,Non-Residential Building Permit,Club,Alteration to Existing Building,100,SCARLETT,RD, ,M6N,11272808.0,W0538,2001-04-30,2002-03-22,,Inspection,demolish existing clubhouse and curling rink and renovations to existing lower level of curling rink,200000,100 SCARLETT RD   M6N,POINT (-79.501646 43.669183),22.0,York South-Weston
01 141473 CMB,Building Additions/Alterations,"Hair, Barber and Other Salon",Interior Alterations,5,ROSEHILL,AVE, ,M4T,14171347.0,S1238,2001-05-28,2001-05-31,,Inspection,Make interior alterations to Unit #5 for personal grooming establishment.and construct barrier-free washroomTenant: Yorkville Hair Studio,2000,5 ROSEHILL AVE   M4T,POINT (-79.39289 43.686136),12.0,Toronto-St. Paul's
01 174545 BLD,Non-Residential Building Permit,"Hair, Barber and Other Salon",Alteration to Existing Building,1278,ST CLAIR,AVE,W,M6E,8680027.0,S0924,2001-09-06,2001-09-06,,Inspection, Make alterations to ground floor for personal grooming establishment. Maximum occupant load 5 people.,20000,1278 ST CLAIR AVE W M6E,POINT (-79.447273 43.677322),20.0,Davenport
01 183057 BLD,Building Additions/Alterations,Fitness Centre,Interior Alterations,1661,QUEEN,ST,E,M4L,,S1941,2001-10-04,2002-08-19,,Inspection,make interior alterations to all floors for commercial school.(conv. address is 1671 queen st e),400000,1661 QUEEN ST E M4L,POINT (-79.313834 43.666675),4.0,Beaches-East York
02 103849 BLD,Building Additions/Alterations,Fitness Centre,Interior Alterations,1875,LESLIE,ST, ,M3B,536792.0,N1623,2002-01-17,2002-03-11,,Permit Issued,INTERIOR ALTERATIONS TO UNIT 15 AND 16 TO CONVERT FROM OFFICE TO FITNESS CENTRE.,60000,1875 LESLIE ST   M3B,POINT (-79.359186 43.756407),19.0,Don Valley East
02 114521 BLD,Building Additions/Alterations,Fitness Centre,Interior Alterations,3389,STEELES,AVE,E,M2H,14074192.0,N1723,2002-02-28,2002-03-28,,Inspection,INTERIOR ALTERATION TO A NEW FITNESS CLUB IN A NEW BUILDING,300000,3389 STEELES AVE E M2H,POINT (-79.343628 43.813457),18.0,Don Valley North
02 144266 BLD,Building Additions/Alterations,Club,Interior Alterations,20,GROSVENOR,ST, ,M4Y,7762640.0,S1325,2002-06-10,2002-06-18,,Permit Issued,make interior alterations to portion of basement in existing basement locker room area.,1700000,20 GROSVENOR ST   M4Y,POINT (-79.385106 43.663063),21.0,Toronto Centre
02 144348 BLD,Building Additions/Alterations,"Hair, Barber and Other Salon",Interior Alterations,2626-2630,ISLINGTON,AVE, ,M9V,14190400.0,W0124,2002-06-10,2002-06-10,,Permit Issued,INTERIOR ALTERATIONS TO BEAUTY SALON,3000,2626-2630 ISLINGTON AVE   M9V,POINT (-79.565341 43.736709),14.0,Etobicoke North
02 159268 BLD,Building Additions/Alterations,Dance Hall,Interior Alterations,30,VICE REGENT,BLVD, ,M9W,11159079.0,W0128,2002-07-30,2003-02-28,,Inspection,"Interior alterations to extend existing banquet hall. HVAC & Plumbing Included, additional Administration Fee:",70000,30 VICE REGENT BLVD   M9W,POINT (-79.591929 43.711809),14.0,Etobicoke North
02 161823 BLD,Building Additions/Alterations,Fitness Centre,Interior Alterations,55,BARBER GREENE,RD, ,M3C,486478.0,N1626,2002-08-08,2002-09-11,,Permit Issued,INTERIOR ALTERATIONS TO UNIT 55A FOR A KARATE SCHOOL.,60000,55 BARBER GREENE RD   M3C,POINT (-79.344843 43.727309),19.0,Don Valley East
02 169908 BLD,Building Additions/Alterations,"Hair, Barber and Other Salon",Interior Alterations,380,RICHMOND,ST,W,M5V,14199269.0,S1030,2002-09-05,2002-09-12,,Inspection,make interior alterations to unit 1b on ground floor for new personal grooming establishment.  tenant:  wax hairdressing.,34000,380 RICHMOND ST W M5V,POINT (-79.394834 43.648327),24.0,Spadina-Fort York
02 177344 BLD,Building Additions/Alterations,Museum,Interior Alterations,100,GARRISON,RD, ,M5V,807841.0,S1028,2002-09-30,2002-10-22,,Inspection,make interior alterations to kitchen and washroom areas----HISTORICAL--,25000,100 GARRISON RD   M5V,POINT (-79.403488 43.639057),24.0,Spadina-Fort York
02 178315 BLD,Building Additions/Alterations,Fitness Centre,Interior Alterations,500,SHEPPARD,AVE,E,M2N,5266160.0,N1826,2002-10-03,2002-11-22,,Inspection,PROPOSED INTERTIOR ALTERTION TO YOGA ROOM,75000,500 SHEPPARD AVE E M2N,POINT (-79.38893 43.766862),2.0,Willowdale
02 189775 BLD,Building Additions/Alterations,"Hair, Barber and Other Salon",Interior Alterations,6,CHARLES,ST,E,M4Y,7754046.0,S1137,2002-11-18,2002-11-26,,Inspection,Make interior alterations to basement for personal grooming establishment.,50000,6 CHARLES ST E M4Y,POINT (-79.385812 43.668835),3.0,University-Rosedale
02 195199 BLD,Building Additions/Alterations,Museum,Interior Alterations,100,QUEEN'S PARK, , ,M5S,8408487.0,S1135,2002-12-10,2002-12-16,,Inspection,"make interior alterations to levels 2b, 1b, & ground level. ",3000000,100 QUEEN'S PARK     M5S,POINT (-79.394212 43.667795),3.0,University-Rosedale
03 114646 BLD,Building Additions/Alterations,Art Gallery,Interior Alterations,401,RICHMOND,ST,W,M5V,7930615.0,S1030,2003-03-13,2003-03-13,,Permit Issued,Interior alterations to ground floor suite 124 for art gallery and publishing office,50000,401 RICHMOND ST W M5V,POINT (-79.394748 43.647755),24.0,Spadina-Fort York
03 120499 BLD,Building Additions/Alterations,Museum,Interior Alterations,770,DON MILLS,RD, ,M3C,507987.0,N1630,2003-04-02,2003-05-07,,Inspection,New int alt for kidspark exhibits in building b.,20000,770 DON MILLS RD   M3C,POINT (-79.338886 43.716755),19.0,Don Valley East
03 120934 BLD,Building Additions/Alterations,Club,Interior Alterations,2,ROXBOROUGH,ST,E,M4W,13504041.0,S1129,2003-04-03,2003-05-07,,Permit Issued,make interior alterations on ground floor by explanding existing club area.,50000,2 ROXBOROUGH ST E M4W,POINT (-79.389659 43.678156),3.0,University-Rosedale
03 135449 BLD,Building Additions/Alterations,Museum,Interior Alterations,100,QUEEN'S PARK, , ,M5S,8408487.0,S1135,2003-05-22,2003-06-03,,Inspection,Make interior alterations to ground floor (level 1) 1B and 2B of the North East Wing.LISTED HISTORICAL,1000000,100 QUEEN'S PARK     M5S,POINT (-79.394212 43.667795),3.0,University-Rosedale
03 137016 BLD,Building Additions/Alterations,Club,Interior Alterations,2350-2374,BAYVIEW,AVE, ,M2L,14188903.0,N1523,2003-05-27,2003-06-23,,Permit Issued,Install new intertior altertion to granite club ltd.,50000,2350-2374 BAYVIEW AVE   M2L,,,
03 154570 BLD,Building Additions/Alterations,Auditorium,Interior Alterations,5040,YONGE,ST, ,M2N,14072465.0,N1824,2003-07-10,2003-07-18,,Inspection,"Interior alterations to the ""Toronto Centre for the Arts""",85000,5040 YONGE ST   M2N,POINT (-79.414024 43.766289),2.0,Willowdale
03 182870 BLD,Building Additions/Alterations,Recreational,Interior Alterations,1,  IBMS EAST YORK, , ,###,,E8501,2003-10-02,2003-10-31,,Inspection,INTERIOR ALTERATIONS,80000,1   IBMS EAST YORK     ###,POINT (-72.839652 45.425149),,
03 183641 BLD,Building Additions/Alterations,Recreational,Interior Alterations,2,WILLOW,AVE, ,M5J,8237736.0,S1942,2003-10-06,2003-11-05,,Permit Issued,Interior renovations to existing washrooms,180000,2 WILLOW AVE   M5J,POINT (-79.355014 43.630798),24.0,Spadina-Fort York
03 188975 BLD,Building Additions/Alterations,Recreational,Interior Alterations,1,  IBMS ETOBICOKE, , ,###,,W8101,2003-10-27,2003-11-17,,Permit Issued,Interior alterations to relocate hot tub ,60000,1   IBMS ETOBICOKE     ###,POINT (-72.839652 45.425149),,
04 102659 BLD,Building Additions/Alterations,Museum,Interior Alterations,100,QUEEN'S PARK, , ,M5S,8408487.0,S1135,2004-01-15,2004-01-15,,Inspection,Make interior alterations to portion of 2nd floor (s/e wing),20000,100 QUEEN'S PARK     M5S,POINT (-79.394212 43.667795),3.0,University-Rosedale
04 105960 BLD,Building Additions/Alterations,Club,Interior Alterations,2350-2374,BAYVIEW,AVE, ,M2L,14188903.0,N1523,2004-01-29,2004-08-10,,Permit Issued,Interior alterations to Granite club.,50000,2350-2374 BAYVIEW AVE   M2L,,,
04 107545 BLD,Building Additions/Alterations,Recreational,Interior Alterations,40,TUXEDO,CRT, ,M1G,11530105.0,E2422,2004-02-05,2006-02-22,,Inspection,INTERIOR ALTERATIONS RECREATION/PARTY HALL,8000,40 TUXEDO CRT   M1G,POINT (-79.23076 43.781269),8.0,Scarborough-Guildwood
04 107801 BLD,Building Additions/Alterations,Museum,Interior Alterations,770,DON MILLS,RD, ,M3C,507987.0,N1630,2004-02-06,2004-02-26,,Permit Issued,Washroom renovations on south mainfloor of Ontario Science Centre,130000,770 DON MILLS RD   M3C,POINT (-79.338886 43.716755),19.0,Don Valley East
04 108527 BLD,Building Additions/Alterations,Fitness Centre,Interior Alterations,900,DON MILLS,RD, ,M3C,4709503.0,N1626,2004-02-10,2004-03-29,,Permit Issued,Interior alterations to KQ fitness centre.,500000,900 DON MILLS RD   M3C,POINT (-79.342112 43.726905),19.0,Don Valley East
04 135667 BLD,Building Additions/Alterations,Club,Interior Alterations,2350-2374,BAYVIEW,AVE, ,M2L,14188903.0,N1523,2004-05-17,2004-11-09,,Inspection,Interior alterations to Granite club 4th floor,260000,2350-2374 BAYVIEW AVE   M2L,,,
04 140037 BLD,Building Additions/Alterations,Club,Interior Alterations,221,RICHMOND,ST,W,M5V,7930463.0,S1030,2004-05-27,2004-06-04,,Permit Issued,Interior alterations for a DSR.  existing and proposed - entertanment club/lounge.  Please check BP#04-139970 MSA for health dept approval dwrg's and letter.,10000,221 RICHMOND ST W M5V,POINT (-79.389552 43.649167),24.0,Spadina-Fort York
