Population,Toronto,Ward 1,Ward 2,Ward 3,Ward 4,Ward 5,Ward 6,Ward 7,Ward 8,Ward 9,Ward 10,Ward 11,Ward 12,Ward 13,Ward 14,Ward 15,Ward 16,Ward 17,Ward 18,Ward 19,Ward 20,Ward 21,Ward 22,Ward 23,Ward 24,Ward 25
  One-person households,385530,7785,11105,24520,19625,12850,11095,8280,14090,14995,42205,24065,25500,37570,16025,11845,11695,12555,15970,14595,11655,10070,9200,4420,8655,5160
,,,,,,,,,,,,,,,,,,,,,,,,,,
Household,Toronto,Ward 1,Ward 2,Ward 3,Ward 4,Ward 5,Ward 6,Ward 7,Ward 8,Ward 9,Ward 10,Ward 11,Ward 12,Ward 13,Ward 14,Ward 15,Ward 16,Ward 17,Ward 18,Ward 19,Ward 20,Ward 21,Ward 22,Ward 23,Ward 24,Ward 25
Total - Private households by household size - 25% sample data,1160890,38130,45345,65575,49440,45050,41270,37675,45915,45670,80735,53505,58110,68965,46235,40030,38285,45785,50555,45700,41905,40560,38350,29545,36245,32315
  1 person,385530,7785,11105,24520,19625,12850,11095,8280,14090,14995,42205,24065,25500,37570,16025,11845,11695,12555,15970,14595,11655,10070,9200,4420,8655,5160
  2 persons,353445,9640,14355,21820,15180,12645,12105,9515,13265,15070,28195,18095,19050,21545,14570,11585,11340,14885,16845,13465,11500,11300,11560,7815,9605,8490
  3 persons,178255,7385,8145,9235,6690,8280,7425,7135,7160,7415,6400,5595,6580,5495,6960,6215,6450,8555,8580,7590,7325,7505,7185,6090,6645,6215
  4 persons,147580,6535,7695,7150,5785,6650,6185,6405,7045,5430,2775,4050,4890,2830,6150,6535,5305,6360,6005,7135,6805,6280,5700,5470,6000,6410
  5 or more persons,96085,6795,4045,2850,2165,4620,4455,6335,4350,2765,1155,1700,2090,1515,2535,3850,3490,3430,3150,2915,4620,5415,4700,5745,5345,6040
Number of persons in private households,2761285,115120,117200,139920,104715,115675,107355,111200,114820,104730,135400,102385,114095,116930,104555,101025,94335,112590,117130,108500,110095,111560,103690,94025,102755,101485
Average household size,2.38,3.02,2.58,2.13,2.12,2.57,2.6,2.95,2.5,2.29,1.68,1.91,1.96,1.7,2.26,2.52,2.46,2.46,2.32,2.37,2.63,2.75,2.7,3.18,2.84,3.14
,,,,,,,,,,,,,,,,,,,,,,,,,,
"Migration, Mobllity & Languages",,,,,,,,,,,,,,,,,,,,,,,,,,
,Toronto,Ward 1,Ward 2,Ward 3,Ward 4,Ward 5,Ward 6,Ward 7,Ward 8,Ward 9,Ward 10,Ward 11,Ward 12,Ward 13,Ward 14,Ward 15,Ward 16,Ward 17,Ward 18,Ward 19,Ward 20,Ward 21,Ward 22,Ward 23,Ward 24,Ward 25
Total - Generation status for the population in private households - 25% sample data,2761285,115115,117205,139920,104715,115675,107360,111200,114820,104730,135405,102385,114095,116935,104555,101025,94335,112590,117125,108500,110095,111560,103690,94025,102755,101485
  First generation,1462095,72235,51940,61175,36980,63850,64400,70930,51470,45325,66905,45150,48875,62290,35585,46970,55465,79540,83145,38700,55430,68765,72950,65980,61325,56710
  Second generation,741035,32930,36490,38925,30520,36700,28420,32980,32720,31705,35020,25725,29440,27830,30415,27125,24365,23855,23220,29590,29210,28820,23930,23960,27390,29760
  Third generation or more,558155,9950,28765,39815,37220,15125,14535,7290,30630,27705,33480,31510,35780,26815,38560,26925,14505,9195,10760,40205,25460,13980,6810,4080,14035,15015
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Toronto,Ward 1,Ward 2,Ward 3,Ward 4,Ward 5,Ward 6,Ward 7,Ward 8,Ward 9,Ward 10,Ward 11,Ward 12,Ward 13,Ward 14,Ward 15,Ward 16,Ward 17,Ward 18,Ward 19,Ward 20,Ward 21,Ward 22,Ward 23,Ward 24,Ward 25
Total - Immigrant status and period of immigration for the population in private households - 25% sample data,2761285,115115,117205,139920,104715,115675,107360,111200,114820,104730,135405,102385,114095,116935,104555,101025,94335,112590,117125,108500,110095,111560,103690,94025,102755,101485
  Non-immigrants,1329905,43640,66315,80045,69575,52820,43790,40905,65435,60865,70400,59515,67205,56170,70475,55720,39635,34110,35140,71210,55395,43560,31595,28855,42060,45475
  Immigrants,1286140,64675,48485,54670,32400,58205,59525,62700,44725,39645,53910,34755,40430,48730,31915,41420,50390,68280,70535,34420,50370,61670,66065,60740,54840,52660
    Before 1980,222935,9545,12890,11150,7780,12050,9875,10020,9935,11740,5400,9020,9095,5185,8885,7010,8555,8960,7725,8020,7380,8400,9800,7350,7000,10165
    1980 to 1990,156460,7735,5730,6740,4610,9730,6115,8565,4930,7480,5680,3705,4375,4670,5040,4250,5165,7495,6540,3955,5550,6500,9330,8505,5840,8235
    1991 to 2000,273985,14085,11020,10895,6635,12690,11035,13575,7790,7595,11245,5700,6990,10615,6690,7005,9750,13900,14165,6360,11435,14715,15765,17390,12660,14300
    2001 to 2010,290400,15690,10055,11480,6040,10240,13620,13575,8970,5885,11470,6775,7305,12185,5660,10220,11795,16920,17955,7045,12885,16050,16330,15660,14515,12070
    2011 to 2021,342360,17625,8795,14400,7330,13490,18875,16970,13095,6940,20110,9565,12665,16080,5645,12930,15125,20995,24145,9040,13120,16000,14840,11835,14825,7895
      2011 to 2015,144320,8195,4000,5315,2870,6095,8840,8090,5905,2665,5195,3295,4115,5390,2420,5835,5740,9235,10285,3855,6130,7245,6850,5785,6760,4220
      2016 to 2021,198040,9425,4800,9085,4465,7400,10040,8885,7195,4275,14915,6270,8555,10690,3225,7100,9385,11760,13860,5185,6985,8760,7990,6050,8065,3670
  Non-permanent residents,145240,6805,2405,5200,2740,4650,4045,7600,4660,4225,11095,8110,6460,12035,2165,3880,4310,10200,11455,2870,4330,6330,6030,4430,5855,3350
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Toronto,Ward 1,Ward 2,Ward 3,Ward 4,Ward 5,Ward 6,Ward 7,Ward 8,Ward 9,Ward 10,Ward 11,Ward 12,Ward 13,Ward 14,Ward 15,Ward 16,Ward 17,Ward 18,Ward 19,Ward 20,Ward 21,Ward 22,Ward 23,Ward 24,Ward 25
Total - Admission category and applicant type for the immigrant population in private households who landed between 1980 and 2021 - 25% sample data,1063210,55130,35600,43520,24620,46150,49650,52680,34790,27900,48510,25740,31335,43545,23030,34410,41830,59320,62810,26395,42990,53270,56265,53395,47840,42495
  Economic immigrants,532155,18000,17050,22045,11220,15065,27460,14080,20960,12940,32950,16915,19110,24950,9825,20110,19990,39235,46225,13100,20560,24305,26800,20685,20885,17700
    Principal applicants,240950,8455,7190,10005,5345,7350,12485,6695,10120,6195,14890,7155,9510,12115,4985,8365,9020,17030,19605,6115,9035,11195,11980,9420,9040,7660
    Secondary applicants,291205,9545,9865,12040,5870,7715,14975,7385,10840,6745,18060,9760,9600,12830,4840,11745,10970,22205,26615,6985,11525,13110,14820,11265,11850,10045
  Immigrants sponsored by family,323945,21040,10010,12100,7420,18470,14210,22585,9335,10080,10155,6085,8220,10550,8540,8525,10925,12695,11545,8080,13205,17835,18225,21405,16755,15945
  Refugees,186825,14950,7950,8750,5620,10835,7185,14585,4065,4215,5015,2410,3495,7545,4185,5180,10245,6625,4310,4750,8490,10080,9585,9520,9080,8160
  Other immigrants,20280,1140,585,625,365,1780,795,1430,435,665,385,330,505,510,480,595,670,765,730,465,745,1050,1655,1785,1115,690
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Toronto,Ward 1,Ward 2,Ward 3,Ward 4,Ward 5,Ward 6,Ward 7,Ward 8,Ward 9,Ward 10,Ward 11,Ward 12,Ward 13,Ward 14,Ward 15,Ward 16,Ward 17,Ward 18,Ward 19,Ward 20,Ward 21,Ward 22,Ward 23,Ward 24,Ward 25
Total - Selected places of birth for the immigrant population in private households - 25% sample data,1286140,64675,48485,54670,32400,58205,59525,62700,44725,39645,53910,34755,40430,48730,31915,41420,50390,68280,70535,34420,50370,61670,66065,60740,54840,52660
  Americas,210975,16015,7465,7960,5810,18695,8930,18175,8490,8220,7625,5315,8790,7220,5000,4655,6340,5380,4145,5915,7240,8625,5580,6585,10260,12535
    Brazil,10175,220,660,880,520,1115,235,170,645,955,695,330,905,600,240,540,145,315,340,240,155,100,50,10,60,45
    Colombia,8695,375,655,580,200,550,420,465,485,425,655,295,435,460,220,335,615,450,280,150,145,145,140,55,100,60
    El Salvador,6495,790,310,150,170,1090,550,1135,185,330,90,70,125,200,70,55,95,125,115,130,170,125,85,35,195,105
    Guyana,31025,3635,490,615,480,1540,750,3575,560,440,430,160,330,535,420,355,855,515,285,505,1635,2735,1115,1810,2925,4335
    Haiti,1660,200,50,60,15,70,35,135,10,15,50,15,15,20,25,35,35,25,15,30,65,75,30,40,390,200
    Jamaica,42655,4560,1135,865,610,4925,1850,4685,1100,850,765,425,1155,1015,555,380,1335,1080,440,895,1625,1975,1750,2150,3055,3490
    Mexico,9340,340,435,590,280,795,455,495,520,610,660,320,735,520,255,350,230,345,365,255,155,180,85,110,90,170
    Peru,4105,270,250,200,145,475,245,275,200,265,230,120,250,175,110,115,95,140,110,110,55,55,60,60,30,70
    Trinidad and Tobago,18280,1305,595,745,450,1045,385,725,380,625,645,305,520,620,555,190,765,470,355,630,1125,1125,830,910,1150,1835
    United States of America,25220,525,805,1100,1440,490,675,420,2115,985,1565,2195,1895,1385,1475,1365,760,795,805,1505,640,595,395,265,550,490
    Other places of birth in Americas,53325,3800,2085,2170,1495,6600,3335,6105,2290,2725,1835,1080,2430,1685,1085,935,1415,1115,1040,1470,1470,1525,1040,1145,1715,1745
  Europe,266215,7570,23510,22645,13380,16025,15990,8990,13390,18295,10485,10440,11900,7615,10700,8255,9115,8200,9905,9515,6925,7000,4395,1910,5125,4955
    Bosnia and Herzegovina,4910,150,1265,610,340,95,45,0,225,95,205,70,245,185,260,195,220,80,80,280,85,75,0,10,50,50
    Croatia,4200,340,935,525,310,240,115,70,115,95,110,115,160,70,115,95,115,85,90,225,65,90,40,0,50,30
