Ethnoculture,Ward_ID,Population,Year
Russian,Toronto,74465,2016
Slovak,Toronto,7615,2016
Ukrainian,Toronto,72340,2016
"Eastern European origins, n.i.e.",Toronto,5210,2016
Southern European origins,Toronto,441485,2016
Albanian,Toronto,11120,2016
Bosnian,Toronto,2965,2016
Catalan,Toronto,120,2016
Croatian,Toronto,13675,2016
Cypriot,Toronto,1470,2016
Greek,Toronto,57425,2016
Italian,Toronto,182495,2016
Kosovar,Toronto,270,2016
Macedonian,Toronto,13325,2016
Maltese,Toronto,6765,2016
Montenegrin,Toronto,930,2016
Portuguese,Toronto,100415,2016
Serbian,Toronto,19375,2016
Sicilian,Toronto,680,2016
Slovenian,Toronto,5475,2016
Spanish,Toronto,56815,2016
"Yugoslavian, n.o.s.",Toronto,3310,2016
"Southern European origins, n.i.e.",Toronto,260,2016
Other European origins,Toronto,42135,2016
Basque,Toronto,510,2016
Jewish,Toronto,34265,2016
Roma (Gypsy),Toronto,900,2016
"Slavic, n.o.s.",Toronto,495,2016
"Other European origins, n.i.e.",Toronto,6320,2016
Caribbean origins,Toronto,165735,2016
Antiguan,Toronto,1315,2016
Bahamian,Toronto,620,2016
Barbadian,Toronto,9015,2016
Bermudan,Toronto,645,2016
Carib,Toronto,995,2016
Cuban,Toronto,5340,2016
Dominican,Toronto,3580,2016
Grenadian,Toronto,7370,2016
Guadeloupean,Toronto,0,2016
Haitian,Toronto,3435,2016
Jamaican,Toronto,90065,2016
Kittitian/Nevisian,Toronto,905,2016
Martinican,Toronto,80,2016
Montserratan,Toronto,240,2016
Puerto Rican,Toronto,445,2016
St. Lucian,Toronto,3530,2016
Trinidadian/Tobagonian,Toronto,20210,2016
Vincentian/Grenadinian,Toronto,6170,2016
"West Indian, n.o.s.",Toronto,20320,2016
"Caribbean origins, n.i.e.",Toronto,7870,2016
"Latin, Central and South American origins",Toronto,113820,2016
Aboriginal from Central/South America (except Arawak and Maya),Toronto,4495,2016
Arawak,Toronto,475,2016
Argentinian,Toronto,4250,2016
Belizean,Toronto,185,2016
Bolivian,Toronto,785,2016
Brazilian,Toronto,8365,2016
Chilean,Toronto,5900,2016
Colombian,Toronto,12235,2016
Costa Rican,Toronto,1070,2016
Ecuadorian,Toronto,9990,2016
Guatemalan,Toronto,3110,2016
Guyanese,Toronto,26690,2016
Hispanic,Toronto,2145,2016
Honduran,Toronto,1020,2016
Maya,Toronto,785,2016
Mexican,Toronto,12095,2016
Nicaraguan,Toronto,2330,2016
Panamanian,Toronto,890,2016
Paraguayan,Toronto,165,2016
Peruvian,Toronto,4990,2016
Salvadorean,Toronto,9565,2016
Uruguayan,Toronto,1300,2016
Venezuelan,Toronto,4220,2016
"Latin, Central and South American origins, n.i.e.",Toronto,5075,2016
African origins,Toronto,146870,2016
Central and West African origins,Toronto,31135,2016
Akan,Toronto,460,2016
Angolan,Toronto,845,2016
Ashanti,Toronto,555,2016
Beninese,Toronto,235,2016
Burkinabe,Toronto,45,2016
Cameroonian,Toronto,1570,2016
Chadian,Toronto,130,2016
Congolese,Toronto,2625,2016
Edo,Toronto,490,2016
Ewe,Toronto,75,2016
Gabonese,Toronto,35,2016
Gambian,Toronto,435,2016
Ghanaian,Toronto,9960,2016
Guinean,Toronto,470,2016
Ibo,Toronto,665,2016
Ivorian,Toronto,385,2016
Liberian,Toronto,170,2016
Malian,Toronto,180,2016
Malinké,Toronto,160,2016
Nigerian,Toronto,9740,2016
Peulh,Toronto,60,2016
Senegalese,Toronto,365,2016
Sierra Leonean,Toronto,595,2016
Togolese,Toronto,205,2016
Wolof,Toronto,45,2016
Yoruba,Toronto,1105,2016
"Central and West African origins, n.i.e.",Toronto,1500,2016
North African origins,Toronto,19510,2016
Algerian,Toronto,890,2016
Berber,Toronto,455,2016
Coptic,Toronto,280,2016
Dinka,Toronto,10,2016
Egyptian,Toronto,10495,2016
Libyan,Toronto,715,2016
Maure,Toronto,145,2016
Moroccan,Toronto,4095,2016
Sudanese,Toronto,2305,2016
Tunisian,Toronto,550,2016
"North African origins, n.i.e.",Toronto,470,2016
Southern and East African origins,Toronto,56400,2016
Afrikaner,Toronto,185,2016
Amhara,Toronto,325,2016
"Bantu, n.o.s.",Toronto,175,2016
Burundian,Toronto,475,2016
Djiboutian,Toronto,160,2016
Eritrean,Toronto,6460,2016
Ethiopian,Toronto,13090,2016
Harari,Toronto,395,2016
Kenyan,Toronto,2150,2016
Malagasy,Toronto,85,2016
Mauritian,Toronto,945,2016
Oromo,Toronto,645,2016
Rwandan,Toronto,790,2016
Seychellois,Toronto,75,2016
Somali,Toronto,20960,2016
South African,Toronto,5440,2016
Tanzanian,Toronto,1140,2016
Tigrian,Toronto,360,2016
Ugandan,Toronto,1280,2016
Zambian,Toronto,170,2016
Zimbabwean,Toronto,1025,2016
Zulu,Toronto,140,2016
"Southern and East African origins, n.i.e.",Toronto,3275,2016
Other African origins,Toronto,41950,2016
"Black, n.o.s.",Toronto,6535,2016
"Other African origins, n.i.e.",Toronto,35855,2016
Asian origins,Toronto,1079290,2016
West Central Asian and Middle Eastern origins,Toronto,152055,2016
Afghan,Toronto,20920,2016
"Arab, n.o.s.",Toronto,9275,2016
Armenian,Toronto,12265,2016
Assyrian,Toronto,3125,2016
Azerbaijani,Toronto,1670,2016
Georgian,Toronto,1600,2016
Hazara,Toronto,325,2016
Iranian,Toronto,45540,2016
Iraqi,Toronto,10475,2016
Israeli,Toronto,6720,2016
Jordanian,Toronto,1480,2016
Kazakh,Toronto,635,2016
Kurd,Toronto,2570,2016
Kuwaiti,Toronto,155,2016
Kyrgyz,Toronto,135,2016
Lebanese,Toronto,13120,2016
Palestinian,Toronto,4095,2016
Pashtun,Toronto,825,2016
Saudi Arabian,Toronto,1120,2016
Syrian,Toronto,6655,2016
Tajik,Toronto,775,2016
Tatar,Toronto,860,2016
Turk,Toronto,13350,2016
Turkmen,Toronto,200,2016
Uighur,Toronto,370,2016
Uzbek,Toronto,1025,2016
Yemeni,Toronto,1410,2016
"West Central Asian and Middle Eastern origins, n.i.e.",Toronto,4210,2016
South Asian origins,Toronto,350040,2016
Bangladeshi,Toronto,18150,2016
Bengali,Toronto,9455,2016
Bhutanese,Toronto,120,2016
East Indian,Toronto,202675,2016
Goan,Toronto,1280,2016
Gujarati,Toronto,1995,2016
Kashmiri,Toronto,345,2016
Nepali,Toronto,3080,2016
Pakistani,Toronto,36135,2016
Punjabi,Toronto,6200,2016
Sinhalese,Toronto,1735,2016
Sri Lankan,Toronto,58185,2016
Tamil,Toronto,20350,2016
"South Asian origins, n.i.e.",Toronto,18470,2016
East and Southeast Asian origins,Toronto,586510,2016
Burmese,Toronto,1200,2016
Cambodian (Khmer),Toronto,2965,2016
Chinese,Toronto,332825,2016
Filipino,Toronto,162600,2016
Hmong,Toronto,15,2016
Indonesian,Toronto,2950,2016
Japanese,Toronto,17265,2016
Karen,Toronto,235,2016
Korean,Toronto,43450,2016
Laotian,Toronto,1255,2016
Malaysian,Toronto,2875,2016
Mongolian,Toronto,1090,2016
Singaporean,Toronto,560,2016
Taiwanese,Toronto,4500,2016
Thai,Toronto,1795,2016
Tibetan,Toronto,5430,2016
Vietnamese,Toronto,36835,2016
"East and Southeast Asian origins, n.i.e.",Toronto,1375,2016
Other Asian origins,Toronto,4600,2016
"Other Asian origins, n.i.e.",Toronto,4605,2016
Oceania origins,Toronto,5790,2016
Australian,Toronto,3705,2016
New Zealander,Toronto,1230,2016
Pacific Islands origins,Toronto,1020,2016
Fijian,Toronto,465,2016
Hawaiian,Toronto,125,2016
Maori,Toronto,140,2016
Samoan,Toronto,65,2016
"Polynesian, n.o.s.",Toronto,75,2016
"Pacific Islands origins, n.i.e.",Toronto,220,2016
Total - Ethnic origin for the population in private households - 25% sample data,Ward 1,116960,2016
North American Aboriginal origins,Ward 1,680,2016
First Nations (North American Indian),Ward 1,565,2016
Inuit,Ward 1,10,2016
Métis,Ward 1,115,2016
Other North American origins,Ward 1,9620,2016
Acadian,Ward 1,40,2016
American,Ward 1,430,2016
Canadian,Ward 1,9250,2016
New Brunswicker,Ward 1,0,2016
Newfoundlander,Ward 1,45,2016
Nova Scotian,Ward 1,15,2016
Ontarian,Ward 1,0,2016
Québécois,Ward 1,25,2016
"Other North American origins, n.i.e.",Ward 1,0,2016
European origins,Ward 1,29290,2016
British Isles origins,Ward 1,10280,2016
Channel Islander,Ward 1,0,2016
Cornish,Ward 1,0,2016
English,Ward 1,5655,2016
Irish,Ward 1,3865,2016
Manx,Ward 1,40,2016
Scottish,Ward 1,4025,2016
Welsh,Ward 1,375,2016
"British Isles origins, n.i.e.",Ward 1,840,2016
French origins,Ward 1,2015,2016
Alsatian,Ward 1,0,2016
Breton,Ward 1,0,2016
Corsican,Ward 1,0,2016
French,Ward 1,2015,2016
Western European origins (except French origins),Ward 1,3090,2016
Austrian,Ward 1,205,2016
Bavarian,Ward 1,10,2016
Belgian,Ward 1,50,2016
Dutch,Ward 1,695,2016
Flemish,Ward 1,0,2016
Frisian,Ward 1,0,2016
German,Ward 1,2255,2016
Luxembourger,Ward 1,0,2016
Swiss,Ward 1,55,2016
"Western European origins, n.i.e.",Ward 1,0,2016
Northern European origins (except British Isles origins),Ward 1,450,2016
Danish,Ward 1,90,2016
Finnish,Ward 1,195,2016
Icelandic,Ward 1,10,2016
Norwegian,Ward 1,125,2016
Swedish,Ward 1,80,2016
"Northern European origins, n.i.e.",Ward 1,10,2016
Eastern European origins,Ward 1,4355,2016
Bulgarian,Ward 1,100,2016
Byelorussian,Ward 1,25,2016
Czech,Ward 1,75,2016
"Czechoslovakian, n.o.s.",Ward 1,60,2016
Estonian,Ward 1,35,2016
Hungarian,Ward 1,595,2016
Latvian,Ward 1,40,2016
Lithuanian,Ward 1,65,2016
Moldovan,Ward 1,10,2016
Polish,Ward 1,1905,2016
Romanian,Ward 1,265,2016
Russian,Ward 1,470,2016
Slovak,Ward 1,170,2016
Ukrainian,Ward 1,1180,2016
"Eastern European origins, n.i.e.",Ward 1,0,2016
Southern European origins,Ward 1,14610,2016
Albanian,Ward 1,455,2016
Bosnian,Ward 1,75,2016
Catalan,Ward 1,0,2016
Croatian,Ward 1,720,2016
Cypriot,Ward 1,10,2016
Greek,Ward 1,740,2016
Italian,Ward 1,7855,2016
Kosovar,Ward 1,10,2016
Macedonian,Ward 1,90,2016
Maltese,Ward 1,425,2016
Montenegrin,Ward 1,10,2016
Portuguese,Ward 1,2230,2016
Serbian,Ward 1,240,2016
Sicilian,Ward 1,15,2016
Slovenian,Ward 1,135,2016
Spanish,Ward 1,2350,2016
"Yugoslavian, n.o.s.",Ward 1,95,2016
"Southern European origins, n.i.e.",Ward 1,0,2016
Other European origins,Ward 1,380,2016
Basque,Ward 1,0,2016
Jewish,Ward 1,240,2016
Roma (Gypsy),Ward 1,20,2016
"Slavic, n.o.s.",Ward 1,0,2016
"Other European origins, n.i.e.",Ward 1,120,2016
Caribbean origins,Ward 1,14040,2016
Antiguan,Ward 1,55,2016
Bahamian,Ward 1,15,2016
Barbadian,Ward 1,340,2016
Bermudan,Ward 1,0,2016
Carib,Ward 1,10,2016
Cuban,Ward 1,320,2016
Dominican,Ward 1,310,2016
Grenadian,Ward 1,555,2016
Guadeloupean,Ward 1,0,2016
Haitian,Ward 1,325,2016
Jamaican,Ward 1,8100,2016
Kittitian/Nevisian,Ward 1,80,2016
Martinican,Ward 1,0,2016
Montserratan,Ward 1,0,2016
Puerto Rican,Ward 1,10,2016
St. Lucian,Ward 1,435,2016
Trinidadian/Tobagonian,Ward 1,1315,2016
Vincentian/Grenadinian,Ward 1,570,2016
"West Indian, n.o.s.",Ward 1,2120,2016
"Caribbean origins, n.i.e.",Ward 1,490,2016
"Latin, Central and South American origins",Ward 1,7835,2016
Aboriginal from Central/South America (except Arawak and Maya),Ward 1,220,2016
Arawak,Ward 1,25,2016
Argentinian,Ward 1,295,2016
Belizean,Ward 1,0,2016
Bolivian,Ward 1,70,2016
Brazilian,Ward 1,175,2016
Chilean,Ward 1,580,2016
Colombian,Ward 1,640,2016
Costa Rican,Ward 1,80,2016
Ecuadorian,Ward 1,730,2016
Guatemalan,Ward 1,370,2016
Guyanese,Ward 1,2580,2016
Hispanic,Ward 1,100,2016
Honduran,Ward 1,70,2016
Maya,Ward 1,25,2016
Mexican,Ward 1,525,2016
Nicaraguan,Ward 1,250,2016
Panamanian,Ward 1,65,2016
Paraguayan,Ward 1,0,2016
Peruvian,Ward 1,220,2016
Salvadorean,Ward 1,935,2016
Uruguayan,Ward 1,105,2016
Venezuelan,Ward 1,45,2016
"Latin, Central and South American origins, n.i.e.",Ward 1,370,2016
African origins,Ward 1,17235,2016
Central and West African origins,Ward 1,5665,2016
Akan,Ward 1,160,2016
Angolan,Ward 1,20,2016
Ashanti,Ward 1,210,2016
Beninese,Ward 1,30,2016
Burkinabe,Ward 1,0,2016
Cameroonian,Ward 1,140,2016
Chadian,Ward 1,40,2016
Congolese,Ward 1,170,2016
Edo,Ward 1,245,2016
Ewe,Ward 1,10,2016
Gabonese,Ward 1,0,2016
Gambian,Ward 1,0,2016
Ghanaian,Ward 1,2535,2016
Guinean,Ward 1,10,2016
Ibo,Ward 1,125,2016
Ivorian,Ward 1,100,2016
Liberian,Ward 1,20,2016
Malian,Ward 1,0,2016
Malinké,Ward 1,10,2016
Nigerian,Ward 1,1745,2016
Peulh,Ward 1,0,2016
Senegalese,Ward 1,10,2016
Sierra Leonean,Ward 1,50,2016
Togolese,Ward 1,40,2016
Wolof,Ward 1,0,2016
Yoruba,Ward 1,250,2016
"Central and West African origins, n.i.e.",Ward 1,105,2016
North African origins,Ward 1,485,2016
Algerian,Ward 1,20,2016
Berber,Ward 1,50,2016
Coptic,Ward 1,0,2016
Dinka,Ward 1,0,2016
Egyptian,Ward 1,200,2016
Libyan,Ward 1,10,2016
Maure,Ward 1,0,2016
Moroccan,Ward 1,105,2016
Sudanese,Ward 1,105,2016
Tunisian,Ward 1,0,2016
"North African origins, n.i.e.",Ward 1,0,2016
Southern and East African origins,Ward 1,7745,2016
Afrikaner,Ward 1,0,2016
Amhara,Ward 1,0,2016
"Bantu, n.o.s.",Ward 1,15,2016
Burundian,Ward 1,10,2016
Djiboutian,Ward 1,15,2016
Eritrean,Ward 1,220,2016
Ethiopian,Ward 1,640,2016
Harari,Ward 1,0,2016
Kenyan,Ward 1,140,2016
Malagasy,Ward 1,0,2016
Mauritian,Ward 1,125,2016
Oromo,Ward 1,0,2016
Rwandan,Ward 1,0,2016
Seychellois,Ward 1,0,2016
Somali,Ward 1,6350,2016
South African,Ward 1,35,2016
Tanzanian,Ward 1,65,2016
Tigrian,Ward 1,25,2016
Ugandan,Ward 1,150,2016
Zambian,Ward 1,20,2016
Zimbabwean,Ward 1,30,2016
Zulu,Ward 1,10,2016
"Southern and East African origins, n.i.e.",Ward 1,150,2016
Other African origins,Ward 1,3480,2016
"Black, n.o.s.",Ward 1,410,2016
"Other African origins, n.i.e.",Ward 1,3110,2016
Asian origins,Ward 1,53430,2016
West Central Asian and Middle Eastern origins,Ward 1,9200,2016
Afghan,Ward 1,1695,2016
"Arab, n.o.s.",Ward 1,645,2016
Armenian,Ward 1,135,2016
Assyrian,Ward 1,1475,2016
Azerbaijani,Ward 1,10,2016
Georgian,Ward 1,10,2016
Hazara,Ward 1,0,2016
Iranian,Ward 1,360,2016
Iraqi,Ward 1,3785,2016
Israeli,Ward 1,45,2016
Jordanian,Ward 1,30,2016
Kazakh,Ward 1,0,2016
Kurd,Ward 1,40,2016
Kuwaiti,Ward 1,0,2016
Kyrgyz,Ward 1,0,2016
Lebanese,Ward 1,250,2016
Palestinian,Ward 1,120,2016
Pashtun,Ward 1,15,2016
Saudi Arabian,Ward 1,40,2016
Syrian,Ward 1,260,2016
Tajik,Ward 1,10,2016
Tatar,Ward 1,10,2016
Turk,Ward 1,530,2016
Turkmen,Ward 1,0,2016
Uighur,Ward 1,20,2016
Uzbek,Ward 1,10,2016
Yemeni,Ward 1,145,2016
"West Central Asian and Middle Eastern origins, n.i.e.",Ward 1,390,2016
South Asian origins,Ward 1,34775,2016
Bangladeshi,Ward 1,335,2016
Bengali,Ward 1,415,2016
Bhutanese,Ward 1,0,2016
East Indian,Ward 1,25965,2016
Goan,Ward 1,85,2016
Gujarati,Ward 1,395,2016
Kashmiri,Ward 1,35,2016
Nepali,Ward 1,65,2016
Pakistani,Ward 1,2965,2016
Punjabi,Ward 1,2270,2016
Sinhalese,Ward 1,130,2016
Sri Lankan,Ward 1,2345,2016
Tamil,Ward 1,700,2016
"South Asian origins, n.i.e.",Ward 1,1465,2016
East and Southeast Asian origins,Ward 1,9730,2016
Burmese,Ward 1,0,2016
Cambodian (Khmer),Ward 1,165,2016
Chinese,Ward 1,2885,2016
Filipino,Ward 1,4895,2016
Hmong,Ward 1,0,2016
Indonesian,Ward 1,80,2016
Japanese,Ward 1,185,2016
Karen,Ward 1,25,2016
Korean,Ward 1,490,2016
Laotian,Ward 1,110,2016
Malaysian,Ward 1,80,2016
Mongolian,Ward 1,25,2016
Singaporean,Ward 1,0,2016
Taiwanese,Ward 1,50,2016
Thai,Ward 1,70,2016
Tibetan,Ward 1,25,2016
Vietnamese,Ward 1,1545,2016
"East and Southeast Asian origins, n.i.e.",Ward 1,90,2016
Other Asian origins,Ward 1,320,2016
"Other Asian origins, n.i.e.",Ward 1,320,2016
Oceania origins,Ward 1,60,2016
Australian,Ward 1,25,2016
New Zealander,Ward 1,10,2016
Pacific Islands origins,Ward 1,35,2016
Fijian,Ward 1,20,2016
Hawaiian,Ward 1,10,2016
Maori,Ward 1,0,2016
Samoan,Ward 1,0,2016
"Polynesian, n.o.s.",Ward 1,10,2016
"Pacific Islands origins, n.i.e.",Ward 1,0,2016
Total - Ethnic origin for the population in private households - 25% sample data,Ward 2,116055,2016
North American Aboriginal origins,Ward 2,1210,2016
First Nations (North American Indian),Ward 2,890,2016
Inuit,Ward 2,30,2016
Métis,Ward 2,335,2016
Other North American origins,Ward 2,14840,2016
Acadian,Ward 2,35,2016
American,Ward 2,965,2016
Canadian,Ward 2,14070,2016
New Brunswicker,Ward 2,0,2016
Newfoundlander,Ward 2,55,2016
Nova Scotian,Ward 2,15,2016
Ontarian,Ward 2,15,2016
Québécois,Ward 2,40,2016
"Other North American origins, n.i.e.",Ward 2,10,2016
European origins,Ward 2,83380,2016
British Isles origins,Ward 2,29050,2016
Channel Islander,Ward 2,15,2016
Cornish,Ward 2,10,2016
English,Ward 2,16575,2016
Irish,Ward 2,12590,2016
Manx,Ward 2,35,2016
Scottish,Ward 2,12040,2016
Welsh,Ward 2,1350,2016
"British Isles origins, n.i.e.",Ward 2,2185,2016
French origins,Ward 2,4825,2016
Alsatian,Ward 2,0,2016
Breton,Ward 2,0,2016
Corsican,Ward 2,0,2016
French,Ward 2,4820,2016
Western European origins (except French origins),Ward 2,9055,2016
Austrian,Ward 2,950,2016
Bavarian,Ward 2,0,2016
Belgian,Ward 2,170,2016
Dutch,Ward 2,1790,2016
Flemish,Ward 2,40,2016
Frisian,Ward 2,10,2016
German,Ward 2,6340,2016
Luxembourger,Ward 2,0,2016
Swiss,Ward 2,330,2016
"Western European origins, n.i.e.",Ward 2,35,2016
Northern European origins (except British Isles origins),Ward 2,1465,2016
Danish,Ward 2,290,2016
Finnish,Ward 2,345,2016
Icelandic,Ward 2,85,2016
Norwegian,Ward 2,350,2016
Swedish,Ward 2,320,2016
"Northern European origins, n.i.e.",Ward 2,150,2016
Eastern European origins,Ward 2,23260,2016
Bulgarian,Ward 2,545,2016
Byelorussian,Ward 2,135,2016
Czech,Ward 2,640,2016
"Czechoslovakian, n.o.s.",Ward 2,185,2016
Estonian,Ward 2,195,2016
Hungarian,Ward 2,1710,2016
Latvian,Ward 2,290,2016
Lithuanian,Ward 2,585,2016
Moldovan,Ward 2,130,2016
Polish,Ward 2,8575,2016
Romanian,Ward 2,1160,2016
Russian,Ward 2,2580,2016
Slovak,Ward 2,760,2016
Ukrainian,Ward 2,9425,2016
"Eastern European origins, n.i.e.",Ward 2,145,2016
Southern European origins,Ward 2,36075,2016
Albanian,Ward 2,1720,2016
Bosnian,Ward 2,700,2016
Catalan,Ward 2,0,2016
Croatian,Ward 2,2200,2016
Cypriot,Ward 2,90,2016
Greek,Ward 2,2285,2016
Italian,Ward 2,17545,2016
Kosovar,Ward 2,30,2016
Macedonian,Ward 2,920,2016
Maltese,Ward 2,1015,2016
Montenegrin,Ward 2,190,2016
Portuguese,Ward 2,5560,2016
Serbian,Ward 2,3855,2016
Sicilian,Ward 2,20,2016
Slovenian,Ward 2,820,2016
Spanish,Ward 2,2660,2016
"Yugoslavian, n.o.s.",Ward 2,285,2016
"Southern European origins, n.i.e.",Ward 2,10,2016
Other European origins,Ward 2,715,2016
Basque,Ward 2,20,2016
Jewish,Ward 2,435,2016
Roma (Gypsy),Ward 2,60,2016
"Slavic, n.o.s.",Ward 2,70,2016
"Other European origins, n.i.e.",Ward 2,135,2016
Caribbean origins,Ward 2,4325,2016
Antiguan,Ward 2,50,2016
Bahamian,Ward 2,15,2016
Barbadian,Ward 2,300,2016
Bermudan,Ward 2,25,2016
Carib,Ward 2,50,2016
Cuban,Ward 2,395,2016
Dominican,Ward 2,105,2016
Grenadian,Ward 2,90,2016
Guadeloupean,Ward 2,0,2016
Haitian,Ward 2,70,2016
Jamaican,Ward 2,2330,2016
Kittitian/Nevisian,Ward 2,25,2016
Martinican,Ward 2,0,2016
Montserratan,Ward 2,20,2016
Puerto Rican,Ward 2,20,2016
St. Lucian,Ward 2,40,2016
Trinidadian/Tobagonian,Ward 2,530,2016
Vincentian/Grenadinian,Ward 2,135,2016
"West Indian, n.o.s.",Ward 2,455,2016
"Caribbean origins, n.i.e.",Ward 2,110,2016
"Latin, Central and South American origins",Ward 2,4810,2016
Aboriginal from Central/South America (except Arawak and Maya),Ward 2,140,2016
Arawak,Ward 2,20,2016
Argentinian,Ward 2,230,2016
Belizean,Ward 2,0,2016
Bolivian,Ward 2,70,2016
Brazilian,Ward 2,400,2016
Chilean,Ward 2,495,2016
Colombian,Ward 2,945,2016
Costa Rican,Ward 2,80,2016
Ecuadorian,Ward 2,400,2016
Guatemalan,Ward 2,130,2016
Guyanese,Ward 2,560,2016
Hispanic,Ward 2,145,2016
Honduran,Ward 2,10,2016
Maya,Ward 2,20,2016
Mexican,Ward 2,460,2016
Nicaraguan,Ward 2,85,2016
Panamanian,Ward 2,50,2016
Paraguayan,Ward 2,10,2016
Peruvian,Ward 2,190,2016
Salvadorean,Ward 2,410,2016
Uruguayan,Ward 2,85,2016
Venezuelan,Ward 2,140,2016
"Latin, Central and South American origins, n.i.e.",Ward 2,155,2016
African origins,Ward 2,4810,2016
Central and West African origins,Ward 2,1040,2016
Akan,Ward 2,20,2016
Angolan,Ward 2,70,2016
Ashanti,Ward 2,10,2016
Beninese,Ward 2,0,2016
Burkinabe,Ward 2,0,2016
Cameroonian,Ward 2,80,2016
Chadian,Ward 2,0,2016
Congolese,Ward 2,40,2016
Edo,Ward 2,0,2016
Ewe,Ward 2,0,2016
Gabonese,Ward 2,0,2016
Gambian,Ward 2,0,2016
Ghanaian,Ward 2,410,2016
Guinean,Ward 2,10,2016
Ibo,Ward 2,25,2016
Ivorian,Ward 2,25,2016
Liberian,Ward 2,0,2016
Malian,Ward 2,0,2016
Malinké,Ward 2,0,2016
Nigerian,Ward 2,300,2016
Peulh,Ward 2,0,2016
Senegalese,Ward 2,0,2016
Sierra Leonean,Ward 2,10,2016
Togolese,Ward 2,0,2016
Wolof,Ward 2,0,2016
Yoruba,Ward 2,35,2016
"Central and West African origins, n.i.e.",Ward 2,0,2016
North African origins,Ward 2,420,2016
Algerian,Ward 2,0,2016
Berber,Ward 2,10,2016
Coptic,Ward 2,10,2016
Dinka,Ward 2,0,2016
Egyptian,Ward 2,320,2016
Libyan,Ward 2,10,2016
Maure,Ward 2,0,2016
Moroccan,Ward 2,35,2016
Sudanese,Ward 2,50,2016
Tunisian,Ward 2,15,2016
"North African origins, n.i.e.",Ward 2,0,2016
Southern and East African origins,Ward 2,2315,2016
Afrikaner,Ward 2,0,2016
Amhara,Ward 2,0,2016
"Bantu, n.o.s.",Ward 2,0,2016
Burundian,Ward 2,20,2016
Djiboutian,Ward 2,0,2016
Eritrean,Ward 2,125,2016
Ethiopian,Ward 2,265,2016
Harari,Ward 2,0,2016
Kenyan,Ward 2,80,2016
Malagasy,Ward 2,15,2016
Mauritian,Ward 2,50,2016
Oromo,Ward 2,35,2016
Rwandan,Ward 2,25,2016
Seychellois,Ward 2,0,2016
Somali,Ward 2,1545,2016
South African,Ward 2,155,2016
Tanzanian,Ward 2,0,2016
Tigrian,Ward 2,0,2016
Ugandan,Ward 2,20,2016
Zambian,Ward 2,0,2016
Zimbabwean,Ward 2,40,2016
Zulu,Ward 2,10,2016
"Southern and East African origins, n.i.e.",Ward 2,80,2016
Other African origins,Ward 2,1060,2016
"Black, n.o.s.",Ward 2,220,2016
"Other African origins, n.i.e.",Ward 2,850,2016
Asian origins,Ward 2,21780,2016
West Central Asian and Middle Eastern origins,Ward 2,4060,2016
Afghan,Ward 2,730,2016
"Arab, n.o.s.",Ward 2,230,2016
Armenian,Ward 2,255,2016
Assyrian,Ward 2,75,2016
Azerbaijani,Ward 2,35,2016
Georgian,Ward 2,65,2016
Hazara,Ward 2,0,2016
Iranian,Ward 2,665,2016
Iraqi,Ward 2,165,2016
Israeli,Ward 2,55,2016
Jordanian,Ward 2,60,2016
Kazakh,Ward 2,30,2016
Kurd,Ward 2,130,2016
Kuwaiti,Ward 2,10,2016
