Population,Toronto,Ward 1,Ward 2,Ward 3,Ward 4,Ward 5,Ward 6,Ward 7,Ward 8,Ward 9,Ward 10,Ward 11,Ward 12,Ward 13,Ward 14,Ward 15,Ward 16,Ward 17,Ward 18,Ward 19,Ward 20,Ward 21,Ward 22,Ward 23,Ward 24,Ward 25
  80 to 84 years,60635,2455,4225,2835,1755,2695,2735,2515,2575,1950,1055,2570,2810,1175,1920,2030,2615,3110,2700,1730,2280,2730,3695,2245,2460,1765
  85 to 89 years,40800,1475,3100,1900,1315,1675,1965,1380,2000,1215,540,1735,2205,670,1280,1370,1905,1980,1955,1150,1545,1985,2445,1400,1550,1075
  90 years and over,25200,705,2010,1315,995,990,1215,590,1515,605,280,1180,1645,380,685,790,1175,1165,1175,685,1160,1160,1435,830,820,700
,,,,,,,,,,,,,,,,,,,,,,,,,,
Median age,38.9,36.5,45.2,41.1,38.4,39.3,40.8,36.3,40,36.7,32.4,35.6,40.2,35.3,39.8,40,40.9,41.1,38.5,40.4,40.6,39.8,44.4,41.5,38.2,40.9
,,,,,,,,,,,,,,,,,,,,,,,,,,
Dwellings,,,,,,,,,,,,,,,,,,,,,,,,,,
,Toronto,Ward 1,Ward 2,Ward 3,Ward 4,Ward 5,Ward 6,Ward 7,Ward 8,Ward 9,Ward 10,Ward 11,Ward 12,Ward 13,Ward 14,Ward 15,Ward 16,Ward 17,Ward 18,Ward 19,Ward 20,Ward 21,Ward 22,Ward 23,Ward 24,Ward 25
Total - Occupied private dwellings by structural type of dwelling - 25% sample data,1112930,37895,45050,59735,50315,44930,39840,36215,44220,45590,67935,51215,53355,58515,46150,39685,38065,42475,49960,45995,41500,40290,36760,29345,35935,31965
  Single-detached house,269660,11225,21795,18265,8840,13165,10180,4585,17175,6545,515,4235,8895,235,8415,14750,5525,8880,12250,12820,14775,13900,11160,11795,12225,17505
  Semi-detached house,72080,1360,870,1305,4070,3185,2950,7390,1540,6475,615,3520,2890,685,9240,2880,2170,3610,865,6685,2410,775,1330,2675,690,1915
  Row house,61875,3610,1935,2340,1340,1260,1135,4040,1085,2220,2390,2115,940,2215,2920,1165,2935,4240,1750,1735,2120,2700,4370,4590,2180,4530
  Apartment or flat in a duplex,47580,3945,795,1455,2395,2050,1825,1050,2180,3360,1020,1805,1505,365,2710,435,295,575,1395,2175,3230,4000,1505,2225,2520,2765
  Apartment in a building that has fewer than five storeys,165645,2055,2020,10800,14245,7185,6635,4940,7775,18955,4975,15035,11545,6800,12965,4900,5160,3090,3110,10780,4585,2285,1685,1495,1395,1235
  Apartment in a building that has five or more storeys,493140,15695,17585,25535,19350,18040,17070,14205,14340,7515,58070,24080,27535,48120,9690,15545,21950,22060,30560,11690,14025,16595,16670,6375,16880,3960
  Other single-attached house,2845,0,35,30,55,30,45,10,125,520,345,420,40,90,210,10,20,20,25,110,355,35,40,185,35,60
  Movable dwelling,100,0,10,10,25,10,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Toronto,Ward 1,Ward 2,Ward 3,Ward 4,Ward 5,Ward 6,Ward 7,Ward 8,Ward 9,Ward 10,Ward 11,Ward 12,Ward 13,Ward 14,Ward 15,Ward 16,Ward 17,Ward 18,Ward 19,Ward 20,Ward 21,Ward 22,Ward 23,Ward 24,Ward 25
Total - Tenure (includes band housing),1112905,37895,45045,59730,50315,44930,39840,36210,44215,45585,67935,51215,53350,58510,46150,39680,38065,42475,49960,45995,41500,40290,36760,29345,35935,31960
  Owned,587080,20945,30175,33860,21375,21935,19600,17590,24285,23375,29345,21635,20925,17015,25510,21060,17175,24845,30330,25590,23145,23355,24780,23685,20015,25540
    Part of a condominium,195300,6045,7625,12895,4945,4445,6135,4015,4990,3080,26075,9125,7400,14325,2540,3890,8860,10865,17200,3290,3405,7265,10720,6445,5865,3860
    Not part of a condominium,391785,14900,22550,20960,16425,17490,13465,13575,19295,20295,3265,12515,13525,2690,22970,17170,8320,13985,13135,22300,19735,16085,14060,17240,14150,21680
  Rented,525825,16945,14870,25870,28945,22995,20240,18625,19930,22210,38595,29575,32430,41495,20640,18625,20890,17625,19625,20400,18360,16935,11980,5660,15920,6425
    Part of a condominium,96965,2400,1445,5995,1875,760,2090,1260,1595,2520,27825,6825,2525,10530,920,995,2310,4675,10105,885,935,2415,2310,1600,1505,670
    Not part of a condominium,428855,14550,13425,19875,27070,22235,18150,17360,18335,19690,10770,22750,29905,30970,19720,17625,18580,12955,9525,19515,17420,14520,9670,4065,14420,5755
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Toronto,Ward 1,Ward 2,Ward 3,Ward 4,Ward 5,Ward 6,Ward 7,Ward 8,Ward 9,Ward 10,Ward 11,Ward 12,Ward 13,Ward 14,Ward 15,Ward 16,Ward 17,Ward 18,Ward 19,Ward 20,Ward 21,Ward 22,Ward 23,Ward 24,Ward 25
Total - Occupied private dwellings by period of construction - 25% sample data,1112930,37890,45045,59735,50315,44930,39840,36215,44220,45590,67940,51210,53360,58510,46150,39685,38065,42475,49960,45995,41500,40290,36760,29345,35940,31960
  1960 or before,363125,8785,14440,22420,28620,16630,11265,6835,19500,26620,5555,23095,23100,12090,29175,15105,9610,4180,7195,27135,18435,16125,3385,1165,9880,2775
  1961 to 1980,347615,16515,22055,11950,12625,16040,15845,20785,11970,8030,5525,10230,15390,15090,9195,12895,17385,23770,9305,10895,12610,12785,18925,11895,16065,9845
  1981 to 1990,109900,6185,3105,4020,2715,3850,4530,3440,3400,2085,6010,4545,4270,7305,2515,3060,4070,3400,5140,2195,3380,2895,7130,8500,3220,8940
  1991 to 2000,85645,3735,1545,4495,1495,4610,2850,1960,3490,2045,5735,3025,3615,6335,1645,3060,3115,1965,6890,2580,2930,3020,3230,3525,3705,5050
  2001 to 2005,58305,845,860,3945,660,2030,1280,870,2405,1400,8765,2465,2115,3625,640,1760,1745,1775,8300,1435,835,2140,1215,2585,1425,3205
  2006 to 2010,67530,1160,1075,5335,1770,1280,1560,1390,1480,1585,14860,3230,2850,6335,1225,2065,1240,2480,7035,870,2010,1795,935,1165,1115,1665
  2011 to 2016,80805,670,1975,7570,2435,485,2510,925,1990,3825,21490,4630,2020,7730,1750,1745,900,4905,6095,885,1300,1525,1935,510,520,480
,,,,,,,,,,,,,,,,,,,,,,,,,,
Household Maintainers,,,,,,,,,,,,,,,,,,,,,,,,,,
,Toronto,Ward 1,Ward 2,Ward 3,Ward 4,Ward 5,Ward 6,Ward 7,Ward 8,Ward 9,Ward 10,Ward 11,Ward 12,Ward 13,Ward 14,Ward 15,Ward 16,Ward 17,Ward 18,Ward 19,Ward 20,Ward 21,Ward 22,Ward 23,Ward 24,Ward 25
Total - Private households by number of household maintainers - 25% sample data,1112930,37895,45045,59735,50315,44930,39840,36215,44225,45590,67935,51215,53360,58515,46150,39685,38070,42475,49960,45995,41505,40290,36760,29345,35935,31965
  1 household maintainer,693405,22630,25760,37880,31410,29105,23775,22365,27240,25665,46225,33160,36670,42145,27460,24930,24750,25565,31565,28090,26065,24475,21465,15905,22465,16605
  2 household maintainers,374460,12580,17720,20545,17670,13675,13865,11080,15755,17345,20270,15885,15695,14960,17275,13920,11850,14845,16365,16790,13900,13325,13035,11200,11580,13335
  3 or more household maintainers,45060,2685,1560,1310,1235,2150,2200,2770,1230,2585,1435,2165,990,1400,1410,835,1460,2060,2025,1115,1530,2490,2255,2235,1890,2025
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Toronto,Ward 1,Ward 2,Ward 3,Ward 4,Ward 5,Ward 6,Ward 7,Ward 8,Ward 9,Ward 10,Ward 11,Ward 12,Ward 13,Ward 14,Ward 15,Ward 16,Ward 17,Ward 18,Ward 19,Ward 20,Ward 21,Ward 22,Ward 23,Ward 24,Ward 25
Total - Private households by age of primary household maintainers - 25% sample data,1112930,37895,45045,59735,50315,44930,39840,36215,44225,45590,67935,51215,53355,58510,46150,39685,38065,42475,49960,45995,41500,40290,36765,29345,35935,31965
  15 to 24 years,38565,725,380,1620,1340,915,670,1050,745,1610,5535,5450,1715,5650,820,560,665,1355,3025,800,620,1195,555,415,850,290
  25 to 34 years,193895,4540,3940,10485,10980,5860,4960,4890,5330,11270,30030,13425,11185,16250,7535,4990,4585,6205,9645,5975,4455,4705,3445,2595,4250,2370
  35 to 44 years,200745,6895,6470,11270,10665,7910,7145,6190,8175,9375,13770,7545,9340,10640,10135,7325,6905,7250,8925,9680,7620,6895,4920,4520,6220,4960
  45 to 54 years,225775,8950,9810,11750,9670,10380,8400,8215,9625,7900,7690,7310,9220,10335,9920,9350,8125,8295,9510,10900,10115,9280,8005,7235,7970,7820
  55 to 64 years,198425,7465,9720,11130,8275,8920,7565,6750,8725,7160,5275,6695,8365,8030,8090,7700,7060,7305,7855,9405,9195,8280,7415,6685,7380,7990
  65 to 74 years,134370,5135,6570,7230,5400,5545,4985,4365,5895,4300,3215,5665,7160,4955,5505,5275,5200,5970,5645,5400,5250,5050,5925,4565,4665,5505
  75 to 84 years,84310,3130,5340,4310,2655,3810,3925,3490,3650,2935,1800,3660,4405,1990,2940,3055,3660,4430,3560,2670,2910,3345,4440,2490,3335,2375
  85 years and over,36845,1050,2820,1940,1320,1600,2200,1265,2085,1040,625,1470,1960,655,1205,1425,1865,1670,1795,1165,1335,1535,2050,850,1255,655
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Families,Toronto,Ward 1,Ward 2,Ward 3,Ward 4,Ward 5,Ward 6,Ward 7,Ward 8,Ward 9,Ward 10,Ward 11,Ward 12,Ward 13,Ward 14,Ward 15,Ward 16,Ward 17,Ward 18,Ward 19,Ward 20,Ward 21,Ward 22,Ward 23,Ward 24,Ward 25
Total - Couple census families in private households - 25% sample data,566650,22755,27155,28555,22715,21380,21925,18780,24345,22510,22290,19890,22270,16995,22935,23370,19350,25475,26600,23630,22380,22845,23590,21990,20445,22475
  Couples without children,250085,7860,11225,14605,11270,8235,8865,6565,9385,10805,16495,12055,12445,11640,10705,8765,7850,10820,12115,9725,8200,8480,9575,7565,7455,7395
  Couples with children,316560,14900,15930,13955,11445,13140,13055,12215,14955,11700,5800,7840,9825,5355,12230,14610,11500,14655,14485,13905,14180,14365,14010,14425,12990,15075
    1 child,133885,5530,6465,6380,4835,5645,5700,4750,5335,5540,3595,3560,4275,2865,5120,4835,4755,7185,7230,5795,5585,5865,6450,6050,4925,5605
    2 children,130960,5955,7090,6000,5215,5305,5165,4785,6420,4660,1730,3245,4145,1670,5475,6560,4540,5815,5845,6225,6205,5730,5640,5905,5250,6370
    3 or more children,51715,3415,2370,1575,1395,2190,2185,2675,3205,1500,480,1030,1400,820,1635,3215,2200,1660,1410,1890,2390,2765,1925,2470,2825,3100
Total - Lone-parent census families in private households - 25% sample data,151960,8610,6530,6470,4780,10125,6735,9975,5535,5545,3400,3395,4450,3940,5375,3935,6070,5670,5500,6030,7150,7435,6340,5820,7095,6035
  1 child,93260,4275,4135,4435,3080,5895,4230,5210,3370,3615,2405,2390,2975,2515,3510,2365,3805,3670,3700,3940,4410,4525,4070,3485,3950,3310
  2 children,41250,2575,1775,1625,1315,2800,1810,2700,1510,1525,790,805,1145,1020,1420,1235,1615,1480,1490,1655,1935,2065,1585,1650,1990,1715
  3 or more children,17450,1760,620,410,385,1425,700,2060,645,400,210,205,335,400,445,340,645,525,305,435,805,850,680,690,1155,1015
Total children in census families in private households,803880,45220,38305,32445,26730,40110,33475,41205,38255,27805,13340,18005,23390,15025,29240,34650,30480,32590,31145,33050,36970,38205,33675,35025,36690,38855
  Under 6 years of age,161675,8155,6175,7540,6845,7795,6445,8000,7625,5930,4570,3935,5255,4065,7585,6925,5985,5695,5920,8180,7495,7005,5760,5955,7075,5755
  6 to 14 years,233165,13275,11005,9235,8935,11530,9195,11985,12750,7465,2835,5170,7425,4055,8975,12185,9075,8860,7530,10950,11040,11075,8465,8800,10875,10490
  15 to 17 years,77845,4480,3795,2955,2425,3980,3320,4090,4375,2310,880,1645,2330,1340,2515,4000,3245,2965,2920,3235,3880,3780,2790,3215,3565,3815
  18 to 24 years,174815,10425,9305,6615,4900,8825,7735,8925,8565,5505,2310,3720,4835,3115,5230,7505,6515,7380,7010,6055,8225,8415,7590,8165,8340,9605
  25 years and over,156375,8875,8020,6105,3625,7980,6780,8205,4940,6605,2740,3545,3540,2455,4930,4040,5655,7685,7770,4630,6330,7935,9075,8890,6830,9190
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Toronto,Ward 1,Ward 2,Ward 3,Ward 4,Ward 5,Ward 6,Ward 7,Ward 8,Ward 9,Ward 10,Ward 11,Ward 12,Ward 13,Ward 14,Ward 15,Ward 16,Ward 17,Ward 18,Ward 19,Ward 20,Ward 21,Ward 22,Ward 23,Ward 24,Ward 25
Total - Private households by household type - 25% sample data,1112930,37895,45050,59735,50315,44930,39840,36215,44220,45595,67940,51210,53360,58515,46150,39685,38065,42480,49960,45995,41505,40290,36760,29345,35935,31965
  One-census-family households,652730,26235,31485,33665,26610,28080,25960,23995,28220,25515,24755,22345,25950,20435,26635,26110,23345,28305,29525,28215,26685,26335,25115,21275,24035,23905
  Multiple-census-family households,31835,2465,1090,655,425,1650,1320,2300,805,1240,455,460,370,245,810,585,1020,1390,1245,710,1380,1895,2310,3115,1665,2230
  Non-census-family households,428365,9195,12475,25410,23280,15200,12560,9915,15190,18845,42730,28405,27040,37825,18705,12990,13700,12785,19195,17070,13440,12060,9335,4955,10240,5830
,,,,,,,,,,,,,,,,,,,,,,,,,,
Household,Toronto,Ward 1,Ward 2,Ward 3,Ward 4,Ward 5,Ward 6,Ward 7,Ward 8,Ward 9,Ward 10,Ward 11,Ward 12,Ward 13,Ward 14,Ward 15,Ward 16,Ward 17,Ward 18,Ward 19,Ward 20,Ward 21,Ward 22,Ward 23,Ward 24,Ward 25
Total - Private households by household size - 25% sample data,1112930,37895,45045,59735,50315,44930,39840,36210,44220,45595,67935,51210,53360,58515,46150,39685,38065,42475,49960,45995,41505,40290,36760,29345,35935,31965
  1 person,359985,7235,11065,22525,20235,13020,10650,7565,13380,14220,35285,22215,23980,31460,16050,11530,11920,10590,15470,14835,11615,9980,7770,3860,8545,4995
  2 persons,333450,9330,14300,19580,15330,12455,11680,9205,12380,14825,24045,17345,16790,18550,14215,11105,11170,13305,15985,13775,11405,11215,10715,7110,9685,7950
  3 persons,175825,7390,8095,8500,6685,8340,7235,6935,6895,7810,5395,5910,5900,4955,7160,6135,6315,8430,8940,7610,7300,7530,7355,6170,6490,6340
  4 persons,146555,6965,7675,6500,5740,6575,6020,6350,6975,5515,2170,3790,4595,2265,5930,6800,5275,6455,6505,6890,6760,6295,5935,5910,6130,6525
  5 or more persons,97115,6975,3920,2630,2325,4545,4255,6150,4590,3220,1040,1965,2080,1280,2795,4120,3380,3690,3060,2880,4420,5275,4985,6290,5085,6150
Number of persons in private households,2691665,116960,116060,127525,106445,115130,103760,107730,112925,107400,114315,100515,104945,99590,105395,101790,93165,109060,117405,108435,108290,110445,104225,97610,101110,101445
Average household size,2.42,3.09,2.58,2.13,2.12,2.56,2.6,2.98,2.55,2.36,1.68,1.96,1.97,1.7,2.28,2.56,2.45,2.57,2.35,2.36,2.61,2.74,2.84,3.33,2.81,3.17
,,,,,,,,,,,,,,,,,,,,,,,,,,
"Migration, Mobllity & Languages",,,,,,,,,,,,,,,,,,,,,,,,,,
,Toronto,Ward 1,Ward 2,Ward 3,Ward 4,Ward 5,Ward 6,Ward 7,Ward 8,Ward 9,Ward 10,Ward 11,Ward 12,Ward 13,Ward 14,Ward 15,Ward 16,Ward 17,Ward 18,Ward 19,Ward 20,Ward 21,Ward 22,Ward 23,Ward 24,Ward 25
Total - Generation status for the population in private households - 25% sample data,2691665,116960,116055,127525,106445,115130,103760,107725,112925,107400,114315,100520,104940,99585,105395,101790,93165,109060,117405,108435,108295,110450,104230,97610,101115,101440
  First generation,1377465,71535,50030,51980,37785,63290,61805,66650,48015,48415,48410,41330,41190,47780,35760,43960,52815,75400,81870,37690,52170,64880,73060,68625,58165,54870
  Second generation,740180,34700,36260,36190,31070,37105,28360,33460,33600,33200,31995,26600,28010,24345,30575,27480,24780,23605,23195,30265,28640,29340,23955,25105,27280,31055
  Third generation or more,574025,10725,29765,39355,37580,14735,13595,7610,31310,25785,33910,32590,35740,27460,39060,30350,15575,10050,12340,40480,27480,16230,7215,3875,15665,15520
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Toronto,Ward 1,Ward 2,Ward 3,Ward 4,Ward 5,Ward 6,Ward 7,Ward 8,Ward 9,Ward 10,Ward 11,Ward 12,Ward 13,Ward 14,Ward 15,Ward 16,Ward 17,Ward 18,Ward 19,Ward 20,Ward 21,Ward 22,Ward 23,Ward 24,Ward 25
Total - Immigrant status and period of immigration for the population in private households - 25% sample data,2691665,116955,116055,127520,106445,115130,103760,107725,112925,107395,114315,100515,104945,99590,105395,101790,93165,109055,117405,108440,108295,110450,104225,97610,101115,101445
  Non-immigrants,1332085,45850,66600,76310,69705,52300,42450,41525,66250,59895,66930,60740,65045,52625,70690,58785,40775,34135,36055,71730,56555,45970,31555,29320,43260,47030
  Immigrants,1266005,67865,48095,48235,34095,60095,58435,62435,43790,43845,40475,32225,36015,39920,32940,40400,49830,68595,71435,34655,49655,61315,68625,65075,54785,53180
    Before 1981,294065,12445,16340,14030,10605,15570,13505,13445,12575,15805,7475,11350,11550,6530,12070,9090,11000,12350,10730,10300,9850,11015,13535,10350,9350,13200
    1981 to 1990,171565,9150,5810,6770,5020,11300,6415,9645,5030,8780,6230,3990,4575,5345,4950,4175,5780,7570,6945,4110,6130,7740,9700,10410,6705,9305
    1991 to 2000,281875,15785,10895,10000,6675,13185,11955,14065,7950,7980,9710,5530,6250,9515,6500,7240,10665,14965,15645,6185,11875,15365,16555,18240,14000,15140
    2001 to 2010,330555,19330,10730,11310,7310,12440,15205,16395,10550,6950,10120,7025,7555,11440,6170,12170,13855,20945,22440,8495,14575,18395,19900,18965,16345,11935
      2001 to 2005,162775,9125,5895,5910,3275,5690,6840,7415,4615,3235,5175,3360,3390,5560,3135,5700,6655,10955,11120,3930,7080,9335,10865,9810,8230,6460
      2006 to 2010,167780,10200,4840,5395,4030,6750,8370,8975,5930,3715,4940,3670,4160,5880,3030,6470,7200,9985,11320,4565,7495,9070,9040,9155,8110,5470
    2011 to 2016,187950,11155,4320,6125,4495,7595,11365,8885,7685,4330,6945,4330,6085,7095,3250,7715,8525,12765,15670,5560,7220,8800,8930,7110,8385,3610
  Non-permanent residents,93580,3245,1360,2980,2640,2735,2870,3770,2885,3655,6915,7550,3885,7045,1770,2605,2565,6330,9920,2050,2085,3155,4050,3210,3065,1230
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Toronto,Ward 1,Ward 2,Ward 3,Ward 4,Ward 5,Ward 6,Ward 7,Ward 8,Ward 9,Ward 10,Ward 11,Ward 12,Ward 13,Ward 14,Ward 15,Ward 16,Ward 17,Ward 18,Ward 19,Ward 20,Ward 21,Ward 22,Ward 23,Ward 24,Ward 25
Total - Admission category and applicant type for the immigrant population in private households who landed between 1980 and 2016 - 25% sample data,988320,56165,32170,34750,24070,45535,45680,49870,31830,29025,33630,21355,24955,33895,21645,31735,39335,56985,61290,24835,40405,50815,55990,55625,46010,40735
  Economic immigrants,475155,17225,15625,16425,10020,15025,24120,12135,18320,12945,20845,13495,14800,17870,8740,19095,19550,38240,45135,12555,18900,22310,26405,20695,19275,15400
    Principal applicants,201860,7425,6365,7145,4720,7310,10910,5715,8735,5920,7620,5085,7110,7850,4240,7460,8505,14995,16975,5735,8015,9850,11170,8920,7650,6430
    Secondary applicants,273290,9790,9260,9275,5305,7710,13210,6420,9590,7025,13230,8405,7690,10020,4500,11635,11045,23240,28160,6820,10885,12460,15240,11775,11625,8970
  Immigrants sponsored by family,320945,23095,9320,10630,7560,19295,14105,22505,9185,10840,8265,5550,7065,9190,8620,7755,10485,11660,11015,8090,13445,17950,18770,23550,16635,16365
  Refugees,176125,14975,6800,7350,6160,10080,6785,14360,4020,4685,4215,2115,2735,6435,3885,4275,8850,6325,4345,3865,7430,9795,9235,9810,9250,8350
  Other immigrants,16105,875,420,345,325,1140,670,865,310,545,300,195,355,395,400,615,450,760,795,330,630,760,1580,1570,845,620
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Toronto,Ward 1,Ward 2,Ward 3,Ward 4,Ward 5,Ward 6,Ward 7,Ward 8,Ward 9,Ward 10,Ward 11,Ward 12,Ward 13,Ward 14,Ward 15,Ward 16,Ward 17,Ward 18,Ward 19,Ward 20,Ward 21,Ward 22,Ward 23,Ward 24,Ward 25
Total - Selected places of birth for the immigrant population in private households - 25% sample data,1266005,67860,48095,48235,34095,60095,58435,62435,43790,43845,40470,32225,36015,39920,32940,40400,49830,68590,71430,34655,49655,61320,68625,65080,54785,53185
  Americas,212010,16760,6965,6930,5955,19670,9245,19015,8100,9145,5870,4925,7495,6105,4990,4420,6455,5220,4055,5725,7625,9695,5540,7115,10570,14425
    Brazil,7025,130,520,450,240,1165,140,75,415,1015,360,310,375,350,130,205,110,235,295,190,75,75,60,0,65,40
    Colombia,8710,410,640,350,265,545,640,620,560,425,415,195,415,335,195,335,695,545,370,95,145,170,100,50,95,95
    El Salvador,6960,790,255,200,110,1195,540,1170,220,420,160,95,180,130,75,55,105,150,55,75,210,275,145,90,125,155
    Guyana,34490,4220,580,585,560,1650,750,4005,630,510,335,175,290,600,480,315,950,615,305,655,1985,3040,1185,2020,3185,4865
    Haiti,1850,260,45,45,20,65,50,165,15,15,20,25,0,40,35,15,55,20,10,40,140,145,50,45,330,195
    Jamaica,45075,4715,1020,860,630,5645,2195,4880,1145,1020,710,365,1220,815,635,570,1270,975,440,885,1690,2115,1780,2145,3070,4285
    Mexico,7225,325,280,405,400,575,265,435,380,635,385,265,465,465,230,260,215,135,265,190,120,105,90,45,195,105
    Peru,3870,170,135,235,205,455,205,330,180,260,205,130,215,185,90,85,95,170,105,110,35,30,60,90,25,85
    Trinidad and Tobago,19640,1530,550,705,510,1005,425,735,485,675,620,320,450,610,490,355,725,535,425,745,1140,1345,695,1095,1345,2130
    United States,24535,570,820,1115,1500,520,685,375,2105,930,1205,2100,1845,1220,1525,1380,740,775,745,1435,725,480,340,375,600,435
    Other places of birth in Americas,52635,3655,2120,1975,1510,6855,3340,6225,1970,3245,1465,950,2030,1370,1120,855,1495,1060,1055,1310,1355,1915,1035,1155,1540,2020
  Europe,298270,8975,25595,23645,15245,18730,19610,11130,15270,21510,9700,10625,13100,7440,11305,9095,10295,9640,11585,10335,8120,7995,5175,2160,6255,5730
    Bosnia and Herzegovina,5130,165,1125,650,295,60,125,45,335,70,195,105,190,150,345,255,290,130,100,235,95,80,60,10,25,10
    Croatia,4675,400,930,595,370,225,110,95,125,120,130,95,210,135,170,140,85,105,140,145,85,90,25,20,95,40
    France,4590,65,180,235,270,160,140,90,230,280,365,425,320,355,225,250,115,155,155,215,90,85,45,30,85,35
    Germany,11085,415,915,765,740,280,350,205,480,250,375,545,605,395,380,500,435,380,410,530,395,395,250,165,520,410
    Greece,19235,350,560,265,385,410,575,235,515,630,180,420,790,130,3230,580,1320,1190,455,1260,1125,2140,1235,285,670,280
    Hungary,7855,210,580,405,505,385,565,305,675,225,120,270,615,190,95,315,290,425,375,420,185,150,150,45,185,160
    Ireland,4620,70,200,350,350,80,25,35,195,180,440,265,340,215,395,220,125,110,75,295,265,75,40,25,125,120
    Italy,45515,3110,3640,1810,450,5410,5355,7045,3115,3590,275,1340,1340,225,780,325,375,720,1115,815,945,930,1080,345,675,715
    Netherlands,2690,45,210,180,140,75,65,30,85,90,100,95,150,170,135,170,115,100,135,150,125,60,50,25,95,85
    Poland,21365,895,3185,4805,2880,770,800,385,685,440,720,395,565,495,295,370,455,390,505,355,410,365,165,80,440,510
    Portugal,38570,690,1790,1740,1095,8050,1000,920,1920,13155,1645,2320,1425,245,360,175,205,195,155,290,345,240,90,110,205,220
    Romania,12870,220,825,620,405,195,780,190,760,110,485,300,720,300,205,765,1400,1595,810,465,310,455,305,70,310,270
    Russian Federation,16225,145,675,1120,805,190,3615,175,1020,230,790,435,765,840,235,590,445,780,2305,290,195,200,135,10,120,105
    Serbia,8525,110,1680,950,790,130,230,70,375,85,310,185,530,280,360,390,515,300,320,225,120,160,60,25,200,120
