Household_Description,Ward_ID,Population,Year
4 persons,Ward 8,7045,2021
5 or more persons,Ward 8,4350,2021
Number of persons in private households,Ward 8,114820,2021
Average household size,Ward 8,2,2021
Total - Private households by household size - 25% sample data,Ward 9,45670,2021
1 person,Ward 9,14995,2021
2 persons,Ward 9,15070,2021
3 persons,Ward 9,7415,2021
4 persons,Ward 9,5430,2021
5 or more persons,Ward 9,2765,2021
Number of persons in private households,Ward 9,104730,2021
Average household size,Ward 9,2,2021
Total - Private households by household size - 25% sample data,Ward 10,80735,2021
1 person,Ward 10,42205,2021
2 persons,Ward 10,28195,2021
3 persons,Ward 10,6400,2021
4 persons,Ward 10,2775,2021
5 or more persons,Ward 10,1155,2021
Number of persons in private households,Ward 10,135400,2021
Average household size,Ward 10,1,2021
Total - Private households by household size - 25% sample data,Ward 11,53505,2021
1 person,Ward 11,24065,2021
2 persons,Ward 11,18095,2021
3 persons,Ward 11,5595,2021
4 persons,Ward 11,4050,2021
5 or more persons,Ward 11,1700,2021
Number of persons in private households,Ward 11,102385,2021
Average household size,Ward 11,1,2021
Total - Private households by household size - 25% sample data,Ward 12,58110,2021
1 person,Ward 12,25500,2021
2 persons,Ward 12,19050,2021
3 persons,Ward 12,6580,2021
4 persons,Ward 12,4890,2021
5 or more persons,Ward 12,2090,2021
Number of persons in private households,Ward 12,114095,2021
Average household size,Ward 12,1,2021
Total - Private households by household size - 25% sample data,Ward 13,68965,2021
1 person,Ward 13,37570,2021
2 persons,Ward 13,21545,2021
3 persons,Ward 13,5495,2021
4 persons,Ward 13,2830,2021
5 or more persons,Ward 13,1515,2021
Number of persons in private households,Ward 13,116930,2021
Average household size,Ward 13,1,2021
Total - Private households by household size - 25% sample data,Ward 14,46235,2021
1 person,Ward 14,16025,2021
2 persons,Ward 14,14570,2021
3 persons,Ward 14,6960,2021
4 persons,Ward 14,6150,2021
5 or more persons,Ward 14,2535,2021
Number of persons in private households,Ward 14,104555,2021
Average household size,Ward 14,2,2021
Total - Private households by household size - 25% sample data,Ward 15,40030,2021
1 person,Ward 15,11845,2021
2 persons,Ward 15,11585,2021
3 persons,Ward 15,6215,2021
4 persons,Ward 15,6535,2021
5 or more persons,Ward 15,3850,2021
Number of persons in private households,Ward 15,101025,2021
Average household size,Ward 15,2,2021
Total - Private households by household size - 25% sample data,Ward 16,38285,2021
1 person,Ward 16,11695,2021
2 persons,Ward 16,11340,2021
3 persons,Ward 16,6450,2021
4 persons,Ward 16,5305,2021
5 or more persons,Ward 16,3490,2021
Number of persons in private households,Ward 16,94335,2021
Average household size,Ward 16,2,2021
Total - Private households by household size - 25% sample data,Ward 17,45785,2021
1 person,Ward 17,12555,2021
2 persons,Ward 17,14885,2021
3 persons,Ward 17,8555,2021
4 persons,Ward 17,6360,2021
5 or more persons,Ward 17,3430,2021
Number of persons in private households,Ward 17,112590,2021
Average household size,Ward 17,2,2021
Total - Private households by household size - 25% sample data,Ward 18,50555,2021
1 person,Ward 18,15970,2021
2 persons,Ward 18,16845,2021
3 persons,Ward 18,8580,2021
4 persons,Ward 18,6005,2021
5 or more persons,Ward 18,3150,2021
Number of persons in private households,Ward 18,117130,2021
Average household size,Ward 18,2,2021
Total - Private households by household size - 25% sample data,Ward 19,45700,2021
1 person,Ward 19,14595,2021
2 persons,Ward 19,13465,2021
3 persons,Ward 19,7590,2021
4 persons,Ward 19,7135,2021
5 or more persons,Ward 19,2915,2021
Number of persons in private households,Ward 19,108500,2021
Average household size,Ward 19,2,2021
Total - Private households by household size - 25% sample data,Ward 20,41905,2021
1 person,Ward 20,11655,2021
2 persons,Ward 20,11500,2021
3 persons,Ward 20,7325,2021
4 persons,Ward 20,6805,2021
5 or more persons,Ward 20,4620,2021
Number of persons in private households,Ward 20,110095,2021
Average household size,Ward 20,2,2021
Total - Private households by household size - 25% sample data,Ward 21,40560,2021
1 person,Ward 21,10070,2021
2 persons,Ward 21,11300,2021
3 persons,Ward 21,7505,2021
4 persons,Ward 21,6280,2021
5 or more persons,Ward 21,5415,2021
Number of persons in private households,Ward 21,111560,2021
Average household size,Ward 21,2,2021
Total - Private households by household size - 25% sample data,Ward 22,38350,2021
1 person,Ward 22,9200,2021
2 persons,Ward 22,11560,2021
3 persons,Ward 22,7185,2021
4 persons,Ward 22,5700,2021
5 or more persons,Ward 22,4700,2021
Number of persons in private households,Ward 22,103690,2021
Average household size,Ward 22,2,2021
Total - Private households by household size - 25% sample data,Ward 23,29545,2021
1 person,Ward 23,4420,2021
2 persons,Ward 23,7815,2021
3 persons,Ward 23,6090,2021
4 persons,Ward 23,5470,2021
5 or more persons,Ward 23,5745,2021
Number of persons in private households,Ward 23,94025,2021
Average household size,Ward 23,3,2021
Total - Private households by household size - 25% sample data,Ward 24,36245,2021
1 person,Ward 24,8655,2021
2 persons,Ward 24,9605,2021
3 persons,Ward 24,6645,2021
4 persons,Ward 24,6000,2021
5 or more persons,Ward 24,5345,2021
Number of persons in private households,Ward 24,102755,2021
Average household size,Ward 24,2,2021
Total - Private households by household size - 25% sample data,Ward 25,32315,2021
1 person,Ward 25,5160,2021
2 persons,Ward 25,8490,2021
3 persons,Ward 25,6215,2021
4 persons,Ward 25,6410,2021
5 or more persons,Ward 25,6040,2021
Number of persons in private households,Ward 25,101485,2021
Average household size,Ward 25,3,2021
