Permit_Num,Permit_Type,Structure_Type,Work,Street_Num,Street_Name,Street_Type,Street_Direction,Postal,Geo_Id,Ward_Grid,Application_Date,Issued_Date,Completed_Date,Status,Description,Est_Const_Cost
07 253076 BLD,Building Additions/Alterations,College/Trade/Tech School/Training Cent.,Interior Alterations,1,DANFORTH,AVE, ,M4K,3841913,S3001,2007-08-14,2007-09-18,2016-08-02,Closed,"Interior alterations to construct a new conc floor over existing indoor inground pool (space below new slab to be used as storage).  ""City Adult Learning Centre""",150000
07 259105 BLD,Building Additions/Alterations,Elementary School,Interior Alterations,128,FERN,AVE, ,M6R,8007871,S1405,2007-09-05,2007-09-26,2016-02-11,Closed,Make interior alterations to existing washroom on 1st floor to create 2 washrooms in conjunction with  elementary school use,160000
08 102124 BLD,Building Additions/Alterations,University,Interior Alterations,245,CHURCH,ST, ,   ,11462071,S2712,2008-01-10,2008-01-17,2016-08-02,Closed,Install wall/with door(electric strike) to public corridor for restricted access on 2nd floor. Ryerson University,5000
08 146809 BLD,Building Additions/Alterations,University,Interior Alterations,296,CHURCH,ST, ,   ,11462111,S2712,2008-04-14,2008-05-30,2016-09-16,Closed,interior alterations to create new classroom space on floor 3 - Ryerson University - Interior design building.,600000
09 156340 BLD,Building Additions/Alterations,College/Trade/Tech School/Training Cent.,Interior Alterations,234,ATTWELL,DR, ,M9W,984975,W0206,2009-08-11,2009-08-14,2016-12-20,Closed,interior alters to existing main floor of training centre,65000
10 115132 BLD,Building Additions/Alterations,Elementary School,Interior Alterations,50,CELESTINE,DR, ,M9R,992445,W0401,2010-02-08,2010-03-05,2016-12-20,Closed,Interior alterations to existing washrooms and vestibule to ground floor of *Ecole Flix Leclerc*,100000
11 113107 BLD,Building Additions/Alterations,University,Interior Alterations,4700,KEELE,ST, ,M3J,20029109,N0803,2011-01-25,2011-03-24,2016-12-19,Closed,Alterations to the Lecture Halls - York Life Sciences Building,75000000
11 147299 BLD,Building Additions/Alterations,Elementary School,Interior Alterations,25,SEMINOLE,AVE, ,M1J,384283,E3808,2011-03-17,2011-06-30,2016-12-13,Closed,Interior alterations including HVAC and Plumbing,1000000
12 131325 BLD,Building Additions/Alterations,Elementary School,Interior Alterations,288,PLEASANT,AVE, ,M2R,551989,N2301,2012-03-02,2012-04-04,2016-08-31,Closed, Pleasant Public School - daycare washroom,60000
12 159892 BLD,Building Additions/Alterations,Elementary School,Interior Alterations,2335,DUFFERIN,ST, ,M6E,9741283,N1507,2012-04-24,2012-05-24,2016-06-21,Closed,Toronto District School Board on the 1st and 2nd floor.,2100000
12 235528 BLD,Building Additions/Alterations,Place of Worship,Interior Alterations,4242,KINGSTON,RD, ,M1E,8947720,E4306,2012-08-24,2013-08-21,2016-02-03,Closed,interior alterations to existing place of worship,250000
12 296910 BLD,Building Additions/Alterations,College/Trade/Tech School/Training Cent.,Interior Alterations,510,EGLINTON,AVE,W,M5N,14015099,N1606,2012-12-21,2013-02-11,2016-06-14,Closed,Renovation to vacant office unit on second floor for new tenant The Fork Culinary School.,35000
13 143127 BLD,Building Additions/Alterations,Elementary School,Interior Alterations,177,GRACEFIELD,AVE, ,M6L,10035226,W1202,2013-04-02,2013-05-07,2016-12-20,Closed,Interior alteration to existing kindergarten rooms within an elementary school.,150000
13 143151 BLD,Building Additions/Alterations,Elementary School,Interior Alterations,555,HARVIE,AVE, ,M6E,62504,W1702,2013-04-02,2013-05-07,2016-03-02,Closed,Interior alteration to existing kindergarten rooms within an elementary school.,100000
13 157769 BLD,Building Additions/Alterations,Elementary School,Interior Alterations,1,CITY VIEW,DR, ,M9W,993351,W0207,2013-04-26,2013-06-27,2016-08-30,Closed,"Interior alterations to existing vacant industrial building for a new private day school
",250000
13 198925 BLD,New Building,Child Care Facility/DayCare Centre,New Building,21,DANE,AVE, ,   ,505373,N1502,2013-07-04,2014-12-02,2016-09-07,Closed,New day nursery Dane Avenue Childrens Care for 62 children including outdoor play areas.,2950000
13 200031 BLD,Building Additions/Alterations,University,Interior Alterations,55,DUNDAS,ST,W,   ,20040459,S2713,2013-07-08,2013-07-15,2016-09-27,Closed,Renovations to existing office space on eighth floor of Ryerson University (144m2),94000
13 209947 BLD,Building Additions/Alterations,University,Interior Alterations,40,ST GEORGE,ST, ,M5S,6350053,S2007,2013-07-24,2013-08-02,2016-03-31,Closed,Proposal for interior alterations to ground floor (91m2) for cafe space in existing university building. ,180000
13 218259 BLD,Building Additions/Alterations,College/Trade/Tech School/Training Cent.,Interior Alterations,1750,FINCH,AVE,E,M2J,515776,N2403,2015-06-19,2015-12-07,2016-04-12,Closed,"Rev 01: Revised structural work.
Renovations to existing data centre on 4th floor for Seneca College (100m2) ",0
13 218275 BLD,Building Additions/Alterations,University,Interior Alterations,70,THE POND,RD, ,M3J,14051471,N0803,2015-06-24,2015-12-08,2016-07-26,Closed,"Revision #1 - interior changes
Renovations to existing data centre on second floor (100m2) for Seneca @ York.",0
13 264401 BLD,New Building,University,New Building,755,MORNINGSIDE,AVE, ,M1C,14198162,E4403,2013-11-13,2014-09-02,2016-05-11,Closed,Five storey Environmental Science and Chemistry Building at University of Toronto Scarborough Campus.,52500000
13 273915 BLD,Building Additions/Alterations,Hospital,Interior Alterations,1929,BAYVIEW,AVE, ,M4G,7632534,N2601,2013-12-04,2014-05-16,2016-11-29,Closed,construct interior alterations on the 3rd floor for the dialysis centre and an elevator shaft.,12000000
13 279786 BLD,Building Additions/Alterations,Elementary School,Interior Alterations,805,EUCLID,AVE, ,   ,803398,S2001,2013-12-19,2014-01-07,2016-02-12,Closed,Proposal for interior alterations to room 23 in the basement for a washroom and sink. Interior alterations to room 25 on the first floor for a partition wall to divide up the room into two rooms along with washrooms and sink in each of the new rooms for Palmerston Avenue Junior Public School.. Proposal includes for HVAC and PLB. Convinience address of 735 Palmerston Ave.,200000
14 100679 BLD,Building Additions/Alterations,Place of Worship,Interior Alterations,3590,BAYVIEW,AVE, ,M2M,5056162,N2401,2014-10-23,2014-11-12,2016-09-14,Closed,"Various Revisions throughout see attached list on drawings - Interior alteration to kitchen and washrooms on ground floor, reconfigure basement washrooms,  relocate door and add a barrier-free ramp on west elevation - Zorastrian Temple",0
14 101594 BLD,Building Additions/Alterations,University,Interior Alterations,87,GERRARD,ST,E,   ,808265,S2712,2014-01-07,2014-03-04,2016-08-25,Closed,Minor interior alterations to existing university building on the 3rd floor.  Rogers Communication Centre (RCC) - Ryerson University.  Convenience address - 80 Gould St.,170000
14 108526 BLD,Building Additions/Alterations,Place of Worship,Interior Alterations,15,KINGSVIEW,BLVD, ,M9R,9963018,W0208,2014-01-23,2014-01-26,2016-09-30,Closed,Proposal to construct interior renovation to existing washroom. (Altering layout to create a larger space with hallway.,20000
14 118694 BLD,Building Additions/Alterations,Place of Worship,Interior Alterations,115,ST ANDREWS,RD, ,M1P,8714154,E3804,2014-02-19,2014-06-18,2016-02-16,Closed,Structural alterations to existing roof structure within the place of worship,200000
14 140836 BLD,Building Additions/Alterations,University,Interior Alterations,3377,BAYVIEW,AVE, ,M2M,9531675,N2402,2014-04-10,2014-04-15,2016-02-17,Closed,Interior alterations to existing kitchen area,2000000
14 143904 BLD,Building Additions/Alterations,Place of Worship,Interior Alterations,57,BOND,ST, ,   ,773894,S2714,2014-07-25,2015-07-22,2016-11-30,Closed,"REVISION - as per drawings
Proposal for interior alterations on the basement, ground, first, second, third storey of ""Hogan House"", residential portion of ""St. Michael's Cathedral""",0
14 186094 BLD,Building Additions/Alterations,Place of Worship,Interior Alterations,1950,BATHURST,ST, ,M5P,8855434,S2102,2014-07-07,2014-08-05,2016-06-29,Closed,"Proposal for ""Phase 0"": interior renovations of existing temple, scope of work includes new elevator, new exit stair and exit doors, new main entrance doors and interior alterations. No additions in this phase.  ""Holy Blossom Temple""",1170000
14 190870 BLD,Building Additions/Alterations,College/Trade/Tech School/Training Cent.,Interior Alterations,300,ADELAIDE,ST,E,M5A,760830,S2807,2014-07-15,2014-07-25,2016-03-23,Closed,"Proposal for interior alterations to existing 2nd floor cafe located at George Brown College - Student Enterprise Cafe, Centre for Hospitality and Culinary Arts",350000
14 213458 BLD,Building Additions/Alterations,Hospital,Interior Alterations,2075,BAYVIEW,AVE, ,M4N,7754918,N2509,2014-08-28,2014-10-14,2016-04-06,Closed,"Interior Alterations of hospital K - Wing West, ground floor",2500000
14 215093 BLD,Building Additions/Alterations,University,Interior Alterations,35,ST GEORGE,ST, ,M5S,11227024,S2007,2014-09-02,2015-02-26,2016-03-31,Closed,"Proposal for interior alterations to an existing lab on the 4th floor  located in the Galbraith Building - U of T, Nano-materials for Energy Lab.  NOTE - See active interior demo permit 14 188838.",1100000
14 220231 BLD,Building Additions/Alterations,College/Trade/Tech School/Training Cent.,Interior Alterations,34,KERN,RD, ,M3B,8837782,N3403,2014-09-11,2014-10-23,2016-01-05,Closed,Interior alteration at main floor tenant 7 for a new commercial school,600000
14 247915 BLD,New Building,Place of Worship,New Building,28,HENDON,AVE, ,M2M,7164220,N2301,2014-11-04,2015-10-21,2016-11-29,Closed,Proposal to construct a new 2-storey place of worship (434.5 m2) - Fifth Church,2000000
14 247922 BLD,Building Additions/Alterations,Hospital,Interior Alterations,3050,LAWRENCE,AVE,E,M1P,9638452,E3804,2014-11-04,2014-12-19,2016-11-25,Closed,Interior alterations to the male and female washrooms G50 & G51,150000
14 250771 BLD,Building Additions/Alterations,Hospital,Interior Alterations,3276,ST CLAIR,AVE,E,M1L,4628244,E3501,2014-11-12,2015-01-07,2016-10-04,Closed,"Proposal for interior alterations to the ground, 2nd and 3rd floors in existing hospital.",280000
14 253900 BLD,Building Additions/Alterations,Hospital,Interior Alterations,101,COLLEGE,ST, ,M5G,785208,S2711,2015-07-17,2015-09-03,2016-07-25,Closed,Proposal to sprinkler basement area for PET MR suite,0
14 263207 BLD,Building Additions/Alterations,Hospital,Interior Alterations,2075,BAYVIEW,AVE, ,M4N,7754918,N2509,2014-12-11,2014-12-18,2016-05-04,Closed,"Proposed construction of eight new 10"" concrete pads on existing 6"" slab on garde to accommodate new absorption chiller unit and steam condenser.",1700000
15 110955 BLD,Building Additions/Alterations,Child Care Facility/DayCare Centre,Interior Alterations,49,GIVINS,ST, ,M6J,11180397,S1906,2015-02-02,2015-02-27,2016-04-27,Closed,Proposal to install child height sink with associated plumbing and partition fur-out to existing daycare classroom. ,5000
15 113770 BLD,Building Additions/Alterations,Secondary School,Interior Alterations,670,COSBURN,AVE, ,M4C,7846533,S3104,2015-02-09,2015-02-24,2016-02-03,Closed,Proposed renovations to ground floor (16.82m2) to convert two existing washrooms into new multi-purpose room and meeting room - East York Secondary School,102000
15 114615 BLD,Building Additions/Alterations,Elementary School,Interior Alterations,425,MCCOWAN,RD, ,M1J,6427800,E3809,2015-02-11,2016-03-02,2016-08-10,Closed,To convert existing classroom space to child care facility,400000
15 117110 BLD,Building Additions/Alterations,Place of Worship,Interior Alterations,9,CARRIER,DR, ,M9V,991852,W0102,2015-02-12,2015-03-26,2016-04-05,Closed,Interior alteration to create new washroom in existing building.,50000
15 117151 BLD,Building Additions/Alterations,Hospital,Interior Alterations,30,BOND,ST, ,M5B,773891,S2714,2015-02-12,2015-06-09,2016-06-29,Closed,"Proposal for interior alterations to to add a 3rd elevator bank within the Donnelly Wing that will serve floors B2 thru level 11 in existing hospital - ""St Michaels Hospital""",1500000
15 119250 BLD,Building Additions/Alterations,College/Trade/Tech School/Training Cent.,Interior Alterations,290,LAWRENCE,AVE,W,M5M,535922,N1602,2015-02-19,2015-06-22,2016-11-15,Closed,Construct interior demolition and interior alterations to create a new adult education school for CLLC,334561
15 122826 BLD,Building Additions/Alterations,College/Trade/Tech School/Training Cent.,Interior Alterations,4759-4789,YONGE,ST, ,M2N,9066026,N2306,2015-03-02,2015-05-14,2016-06-21,Closed,"Convert and enlarge  Unit 415  into 416 and 417 to create a new Pharmacy Prep School
Hullmark Centre",315000
15 124427 BLD,Building Additions/Alterations,Elementary School,Interior Alterations,14,PEMBROKE,ST, ,M5A,853146,S2714,2015-03-05,2015-04-08,2016-01-25,Closed,Interior alterations to existing admin area,25000
15 128490 BLD,Building Additions/Alterations,Secondary School,Interior Alterations,200,LONSDALE,RD, ,M4V,7254136,S2207,2015-03-17,2015-07-02,2016-05-03,Closed,"Proposal for interior alterations to the 1st floor classrooms, washrooms, offices and corridors in the existing secondary school.",3200000
15 128494 BLD,Building Additions/Alterations,Student Residence,Interior Alterations,200,LONSDALE,RD, ,M4V,7254136,S2207,2015-03-17,2015-06-30,2016-01-13,Closed,Proposal for interior alterations to the student residence rooms and apartments on the  2nd and 3rd floors of the residence buildings.,1700000
15 128629 BLD,Building Additions/Alterations,Elementary School,Interior Alterations,56,WOODFIELD,RD, ,M4L,885738,S3207,2015-03-17,2015-04-21,2016-01-15,Closed,Propose interior alteration to the front entrance of the existing elementary school,120000
15 130738 BLD,Building Additions/Alterations,College/Trade/Tech School/Training Cent.,Interior Alterations,75,ASHTONBEE,RD, ,M1L,11048263,E3706,2015-03-23,2015-06-11,2016-03-31,Closed,"1605.00m2 of interior alterations to Centennial College throughout blocks B, C and D.",1700000
15 135362 BLD,Building Additions/Alterations,Child Care Facility/DayCare Centre,Interior Alterations,2005,SHEPPARD,AVE,E,   ,,N3306,2015-04-01,2015-10-20,2016-07-15,Closed,Construct interior alterations (125m2) to expand the use of the day care (All About Kids Daycare)  into the previous personal service shop unit.  ,15000
15 135394 BLD,Building Additions/Alterations,Student Residence,Interior Alterations,89,CHESTNUT,ST, ,M5G,7792363,S2713,2015-04-01,2015-04-30,2016-06-03,Closed,Proponed interior alterations to the ground floor level of the existing student residence building.,1700000
15 135447 BLD,Building Additions/Alterations,Hospital,Interior Alterations,2867,ELLESMERE,RD, ,M1E,6362828,E4303,2015-04-01,2015-04-22,2016-05-09,Closed,Proposed interior alterations to existing medical suites (1st and 7th floors),50000
15 140917 BLD,Building Additions/Alterations,Hospital,Interior Alterations,250,COLLEGE,ST, ,M5T,9942219,S2007,2015-04-14,2015-05-04,2016-10-18,Closed,interior alteration to the ground floor LAB wintin the existing Hospial ,250000
15 144729 BLD,Building Additions/Alterations,Hospital,Interior Alterations,555,UNIVERSITY,AVE, ,M5G,7792696,S2711,2015-04-21,2015-05-06,2016-04-21,Closed,Central Pharmacy interior alterations - State Wing 3rd floor,360000
15 145534 BLD,Building Additions/Alterations,Hospital,Interior Alterations,101,COLLEGE,ST, ,M5G,785208,S2711,2015-04-23,2015-06-12,2016-09-29,Closed,Proposal for interior alterations to the existing nuclear medicine department on the 2nd floor of the existing hospital (Toronto General Hospital),900000
15 146181 BLD,Building Additions/Alterations,Elementary School,Interior Alterations,99,BRIAN,DR, ,M2J,11467127,N3304,2015-04-24,2015-07-07,2016-09-29,Closed,Construct interior alterations to Brian PS to the pre-school and toddler rooms also the playground arear outside,120000
15 147052 BLD,Building Additions/Alterations,Hospital,Interior Alterations,555,UNIVERSITY,AVE, ,M5G,7792696,S2711,2016-01-18,2016-02-10,2016-10-25,Closed,"Revision 01: Proposal to modify existing fire protection sprinkler system to suite new office layout on second floor
Proposal for interior alterations to the second floor, ""Black Wing""",0
15 147059 BLD,Building Additions/Alterations,Elementary School,Interior Alterations,225,GARDEN,AVE, ,M6R,807559,S1404,2015-04-27,2015-05-15,2016-09-01,Closed,"Proposal for interior alterations to an existing elementary school - Garden Ave Elementary School.
Exterior work includes landscaping.",100000
15 152619 BLD,Building Additions/Alterations,University,Interior Alterations,87,GERRARD,ST,E,   ,808265,S2712,2015-05-06,2015-06-08,2016-02-17,Closed,"Proposal for interior alterations to ground floor of Ryersons University - Architectural Building Arc Fabrication Design Zone - Phase 2
Convenience address is 325 Church St.",200000
15 154064 BLD,Building Additions/Alterations,Elementary School,Interior Alterations,25,YORKWOODS,GT, ,M3N,10258462,N0805,2015-05-08,2015-06-24,2016-01-14,Closed,DAYCARE ALTERATION - CLASSROOM TO INFANT ROOM,75000
15 155383 BLD,Building Additions/Alterations,University,Interior Alterations,47,QUEEN'S PARK,CRES,E,M5S,20357828,S2707,2015-05-12,2015-05-15,2016-05-16,Closed,Interior alterations to 4th floor of existing university building.  University of St Michael's College (Allumni Hall - Slavic Department).  Convenience address - 121 St Joseph St,150000
15 156448 BLD,Building Additions/Alterations,Hospital,Interior Alterations,2075,BAYVIEW,AVE, ,M4N,7754918,N2509,2015-05-13,2015-05-21,2016-02-26,Closed,Construct interior alterations to Sunnybrook Hospital H 150 and H 152  Wing Level 1 (closing up and openin),60000
15 157314 BLD,Building Additions/Alterations,College/Trade/Tech School/Training Cent.,Interior Alterations,2489,BAYVIEW,AVE, ,M2L,13505480,N2504,2015-05-14,2015-06-04,2016-07-06,Closed,"Increase occupant load to 150 people for the Actor's Conservatory building  - Windfield Campus - The Candian Film Centre.
Refer to permit no. 10-302226-BLD-00-NB and 15-128123-BLD 00-NB for information of the existing building.",17000
15 157903 BLD,Building Additions/Alterations,Place of Worship,Interior Alterations,256,KINGSTON,RD, ,M4L,4833238,S3208,2015-05-15,2015-06-11,2016-01-14,Closed,"interior alterations to existing kitchen area, add kitchen system",150000
15 161380 BLD,Building Additions/Alterations,Secondary School,Interior Alterations,120,DERRYDOWN,RD, ,M3J,507241,N0806,2015-05-22,2015-06-09,2016-01-05,Closed,"Proposal for interior alterations to kindergarten room ""A' in existing secondary school - ""Derrydown PS""",120000
15 162895 BLD,Building Additions/Alterations,University,Interior Alterations,87,GERRARD,ST,E,   ,808265,S2712,2015-05-26,2015-07-03,2016-02-18,Closed,"Proposal for interior alterations to ground floor of Ryersons University, Architectural Building for new dust collection system and room.
Convenience address is 325 Church St.",20000
15 163250 BLD,Building Additions/Alterations,University,Interior Alterations,296,CHURCH,ST, ,   ,11462111,S2712,2015-05-26,2015-07-07,2016-02-18,Closed,Construct interior alterations (254m2) upgrade of dust collector system,20000
15 163708 BLD,Building Additions/Alterations,Place of Worship,Interior Alterations,360,BAY,ST, ,M5H,7929471,S2806,2015-05-27,2015-09-15,2016-09-01,Closed,Proposal for interior alterations to create a Place of worship in unit 200 in the existing office building.,190000
15 166799 BLD,Building Additions/Alterations,Hospital,Interior Alterations,399,BATHURST,ST, ,M5T,9086232,S2008,2015-06-02,2015-08-04,2016-05-27,Closed,Proposal for interior alterations on the ground floor of existing hospital to facillitate the installation of new x-ray equipment - Toronto Western Hospital,100000
15 167277 BLD,Building Additions/Alterations,Elementary School,Interior Alterations,120,SEDGEMOUNT,DR, ,M1H,13971549,E3806,2015-06-02,2015-06-16,2016-03-11,Closed,To construct interior alterations for new electrical room in exisiting elementary school.,35000
15 167699 BLD,Building Additions/Alterations,Hospital,Interior Alterations,555,UNIVERSITY,AVE, ,M5G,7792696,S2711,2015-06-03,2015-06-16,2016-12-08,Closed,"Proposal for interior alterations to the main floor, ""Trauma/Resuscitation room"".",500000
15 181660 BLD,Building Additions/Alterations,Hospital,Interior Alterations,2075,BAYVIEW,AVE, ,M4N,7754918,N2509,2015-06-26,2015-12-16,2016-06-09,Closed,Interior alterations - Catheterization Lab - Room C306 - Sunnybrook Hospital,375000
15 181676 BLD,Building Additions/Alterations,Hospital,Interior Alterations,2075,BAYVIEW,AVE, ,M4N,7754918,N2509,2015-06-26,2015-11-27,2016-10-31,Closed,Interior alterations - OR 8 Renovation - M Wing Level 2 - Sunnybrook hospital,600000
15 182302 BLD,Building Additions/Alterations,Hospital,Interior Alterations,555,UNIVERSITY,AVE, ,M5G,7792696,S2711,2015-06-29,2015-07-10,2016-10-06,Closed,"Proposed interior alterations including architectural, structural, plumbing and hvac.",400000
15 185810 BLD,Building Additions/Alterations,Elementary School,Interior Alterations,555,HARVIE,AVE, ,M6E,62504,W1702,2015-07-06,2015-07-20,2016-02-22,Closed,"Proposal for interior alterations to classroom 30 in existing elementary school - ""Fairbank Memorial""",15000
15 188586 BLD,Building Additions/Alterations,Child Care Facility/DayCare Centre,Interior Alterations,1386,VICTORIA PARK,AVE, ,M4A,6686423,N3407,2015-07-10,2015-09-11,2016-02-29,Closed,Interior alterations to existing child care rooms in existing community centre building.,30000
15 189532 BLD,Building Additions/Alterations,Elementary School,Interior Alterations,440,SHUTER,ST, ,M5A,30021040,S2805,2015-07-13,2015-11-10,2016-11-01,Closed,"Proposal to remove an existing temporary stair on first floor within the existing childcare centre portion and minor interior alterations, ""Nelson Mandela Elementary School""",50000
15 192664 BLD,Building Additions/Alterations,College/Trade/Tech School/Training Cent.,Interior Alterations,1750,FINCH,AVE,E,M2J,515776,N2403,2015-07-17,2015-08-17,2016-01-13,Closed,Proposed interior alterations to shipping and receiving area to create print shop and mail room in existing college building. Scope includes relocation of sprinklers.,250000
15 193428 BLD,Building Additions/Alterations,University,Interior Alterations,380,VICTORIA,ST, ,M5B,7730109,S2712,2015-07-20,2015-07-23,2016-04-18,Closed,"Proposal for interior alterations to renovate a universal washroom on the 14th floor in the Jorgenson Hall, University Admin Building.",1000
15 196496 BLD,Building Additions/Alterations,University,Interior Alterations,45,ST GEORGE,ST, ,M5S,11227025,S2007,2015-07-24,2015-08-19,2016-05-02,Closed,"Proposal for interior alterations on the ground and second floor, ""UofT Physical Geography Building""",100000
15 197608 BLD,Building Additions/Alterations,Hospital,Interior Alterations,76,GRENVILLE,ST, ,M5S,7762671,S2709,2015-07-27,2015-08-11,2016-03-23,Closed,"Interior alteration for a ""Laprep Cafe"" located on the ground floor of the existing Building, Installing new Plumbing and HVAC as well. ",50000
15 199027 BLD,Building Additions/Alterations,University,Interior Alterations,215,HURON,ST, ,M5S,823530,S2007,2015-07-29,2015-08-24,2016-02-08,Closed,"Proposal for interior alterations to the third floor, ""Procurement Office - University of Toronto""",335000
15 199061 BLD,Building Additions/Alterations,Elementary School,Interior Alterations,10,ELKHORN,DR, ,M2K,4504013,N2405,2015-07-29,2015-08-11,2016-05-20,Closed,Interior alteration to create a new washroom in a classroom at the above noted school.,100000
15 199172 BLD,Building Additions/Alterations,Place of Worship,Interior Alterations,740,PAPE,AVE, ,M4K,10379331,S2906,2015-07-29,2015-08-18,2016-04-21,Closed,"interior alterations to w/c, office
existing: Place of Worship and Senior Citizens Home",20000
15 201431 BLD,Building Additions/Alterations,College/Trade/Tech School/Training Cent.,Interior Alterations,200,KING,ST,E,M5A,828085,S2810,2015-08-04,2015-08-06,2016-04-02,Closed,Proposed interior alteration to existing classrooms 445E & 527A in existing college.,150000
15 204227 BLD,Building Additions/Alterations,Hospital,Interior Alterations,2075,BAYVIEW,AVE, ,M4N,7754918,N2509,2015-08-10,2015-09-11,2016-12-02,Closed,"Proposal for interior alterations to rooms AG286 and AG288 in the ""A"" wing on the ground floor, ""Sunnybrook Health Sciences Centre""",100000
15 204771 BLD,Building Additions/Alterations,Child Care Facility/DayCare Centre,Interior Alterations,4190,KINGSTON,RD, ,M1E,8947705,E4306,2015-08-11,2015-12-16,2016-07-15,Closed,interior alterations to vacant unit for new childcare centre,50000
15 206272 BLD,Building Additions/Alterations,Hospital,Interior Alterations,150,KILGOUR,RD, ,M4G,12601205,N2601,2015-08-13,2015-08-25,2016-04-27,Closed,Interior alterations - Cafeteria Servery (Tim Hortons) - Ground floor level 1 - Holland Bloorville Kids Rehab,200000
15 206486 BLD,Building Additions/Alterations,Hospital,Interior Alterations,555,UNIVERSITY,AVE, ,M5G,7792696,S2711,2015-08-13,2015-09-29,2016-02-25,Closed,"Proposed interior alterations to construct new observation rooms, nurse station and new patient washroom  ",150000
15 206650 BLD,Building Additions/Alterations,Hospital,Interior Alterations,2075,BAYVIEW,AVE, ,M4N,7754918,N2509,2015-08-14,2015-09-08,2016-12-09,Closed,"Proposal for interior alterations in room AG00J, Wing A, ""Sunnybrook Health Sciences Centre""",70000
15 207661 BLD,Building Additions/Alterations,Hospital,Interior Alterations,250,COLLEGE,ST, ,M5T,9942219,S2007,2015-08-17,2015-10-21,2016-11-18,Closed,Proposal for interior alterations to the Cage Washer room on the 2nd floor of existing hospital - CAMH,400000
15 208512 BLD,Building Additions/Alterations,Place of Worship,Interior Alterations,9,CARRIER,DR, ,M9V,991852,W0102,2015-08-18,2015-08-31,2016-05-24,Closed,Permit for interior alterations to construct demising wall for accessory dormitory room within existing place of worship.,20000
15 209436 BLD,Building Additions/Alterations,Elementary School,Interior Alterations,935,DUNDAS,ST,E,M4M,7576813,S3007,2015-08-19,2015-09-16,2016-10-19,Closed,"Proposal for interior alteration of ground floor classroom 131, including new washroom.",120000
